Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
0,650	0,002	0,031	0,260	0,002	0,031	0,260	0,003	0,032	0,260	0,296	0,045	0,260	0,002	0,027	0,260	0,010	0,008	0,260	0,017	0,009	0,260	0,375	0,100	0,260	0,059	0,024	0,260	0,016	0,011	0,260	0,010	0,008	0,260	0,027	0,021	0,260	0,051	0,039	0,260	0,212	0,103	0,260	0,010	0,007	0,130	-0,021	0,008	0,260	0,010	0,007
0,700	0,003	0,032	0,280	0,003	0,031	0,280	0,003	0,032	0,280	0,302	0,045	0,280	0,002	0,027	0,280	0,010	0,008	0,280	0,139	0,058	0,280	0,327	0,061	0,280	0,043	0,037	0,280	0,010	0,010	0,280	0,011	0,008	0,280	-0,006	0,007	0,280	0,043	0,046	0,280	0,320	0,128	0,280	0,010	0,007	0,140	0,044	0,008	0,280	0,317	0,110
0,750	0,002	0,030	0,300	0,003	0,031	0,300	0,003	0,032	0,300	0,307	0,044	0,300	0,002	0,027	0,300	0,010	0,008	0,300	0,117	0,077	0,300	0,348	0,068	0,300	-0,013	0,007	0,300	0,182	0,065	0,300	0,009	0,008	0,300	0,008	0,007	0,300	0,047	0,039	0,300	0,119	0,082	0,300	0,011	0,007	0,150	-0,021	0,008	0,300	0,575	0,182
0,800	0,002	0,032	0,320	0,002	0,031	0,320	0,003	0,032	0,320	0,313	0,045	0,320	0,002	0,027	0,320	0,010	0,007	0,320	0,113	0,063	0,320	0,009	0,043	0,320	0,008	0,008	0,320	-0,002	0,020	0,320	0,010	0,007	0,320	0,010	0,008	0,320	0,079	0,053	0,320	0,059	0,056	0,320	0,010	0,007	0,160	0,044	0,008	0,320	0,529	0,170
0,850	0,002	0,029	0,340	0,002	0,031	0,340	0,002	0,032	0,340	0,318	0,044	0,340	0,003	0,027	0,340	0,010	0,007	0,340	0,060	0,048	0,340	0,034	0,034	0,340	0,010	0,008	0,340	0,138	0,049	0,340	0,010	0,007	0,340	0,010	0,008	0,340	-0,009	0,026	0,340	0,067	0,053	0,340	0,011	0,008	0,170	-0,021	0,008	0,340	0,395	0,168
0,900	0,002	0,033	0,360	0,002	0,031	0,360	0,003	0,032	0,360	0,325	0,045	0,360	0,003	0,027	0,360	0,010	0,007	0,360	0,033	0,045	0,360	0,026	0,034	0,360	0,011	0,007	0,360	0,106	0,063	0,360	0,219	0,058	0,360	0,010	0,008	0,360	0,007	0,016	0,360	0,005	0,026	0,360	0,076	0,033	0,180	0,044	0,008	0,360	0,032	0,049
0,950	0,002	0,029	0,380	0,002	0,031	0,380	0,002	0,032	0,380	0,331	0,045	0,380	0,002	0,026	0,380	0,010	0,007	0,380	0,018	0,030	0,380	0,126	0,059	0,380	0,011	0,007	0,380	0,046	0,040	0,380	-0,005	0,023	0,380	0,011	0,008	0,380	0,026	0,026	0,380	0,006	0,017	0,380	0,101	0,056	0,190	0,200	0,063	0,380	0,353	0,140
1,000	1,582	2,640	0,400	0,002	0,031	0,400	0,003	0,032	0,400	0,336	0,044	0,400	0,003	0,027	0,400	0,010	0,008	0,400	-0,008	0,015	0,400	0,069	0,054	0,400	0,014	0,008	0,400	0,020	0,028	0,400	0,010	0,023	0,400	0,010	0,008	0,400	0,116	0,051	0,400	0,014	0,017	0,400	0,035	0,040	0,200	0,506	0,156	0,400	0,343	0,132
1,050	0,010	2,371	0,420	0,002	0,032	0,420	0,003	0,032	0,420	0,342	0,028	0,420	0,002	0,026	0,420	0,010	0,008	0,420	0,002	0,009	0,420	-0,005	0,021	0,420	0,012	0,010	0,420	0,005	0,019	0,420	-0,007	0,009	0,420	0,011	0,009	0,420	-0,009	0,025	0,420	0,005	0,012	0,420	0,040	0,040	0,210	-0,053	0,036	0,420	0,492	0,169
1,100	0,025	0,045	0,440	0,002	0,031	0,440	0,003	0,032	0,440	0,348	0,043	0,440	0,002	0,027	0,440	0,010	0,007	0,440	0,008	0,008	0,440	0,040	0,025	0,440	0,020	0,011	0,440	0,012	0,019	0,440	0,008	0,008	0,440	0,093	0,039	0,440	0,023	0,016	0,440	0,006	0,009	0,440	0,062	0,045	0,220	0,257	0,073	0,440	0,332	0,137
1,150	0,040	0,038	0,460	0,002	0,031	0,460	0,003	0,032	0,460	0,354	0,044	0,460	0,003	0,026	0,460	0,011	0,008	0,460	0,009	0,008	0,460	0,037	0,044	0,460	0,006	0,011	0,460	0,015	0,016	0,460	0,012	0,008	0,460	-0,005	0,022	0,460	0,013	0,025	0,460	0,815	0,187	0,460	0,105	0,068	0,230	0,195	0,089	0,460	0,110	0,080
1,200	0,055	0,047	0,480	0,002	0,031	0,480	0,003	0,032	0,480	0,360	0,045	0,480	0,002	0,026	0,480	0,010	0,008	0,480	0,010	0,008	0,480	0,434	0,128	0,480	0,006	0,008	0,480	0,005	0,010	0,480	0,010	0,008	0,480	0,002	0,008	0,480	-0,004	0,011	0,480	3,180	0,917	0,480	0,066	0,054	0,240	0,408	0,142	0,480	0,016	0,040
1,250	0,071	0,044	0,500	0,002	0,031	0,500	0,003	0,032	0,500	0,366	0,044	0,500	0,002	0,026	0,500	0,010	0,008	0,500	0,008	0,007	0,500	2,654	0,776	0,500	0,010	0,007	0,500	0,007	0,008	0,500	0,010	0,007	0,500	3,460	0,992	0,500	0,005	0,008	0,500	2,978	0,950	0,500	0,077	0,056	0,250	0,349	0,161	0,500	0,026	0,019
1,300	0,085	0,047	0,520	0,002	0,031	0,520	0,003	0,032	0,520	0,372	0,044	0,520	0,002	0,026	0,520	0,015	0,010	0,520	0,010	0,008	0,520	4,714	2,091	0,520	0,011	0,008	0,520	0,035	0,017	0,520	0,011	0,008	0,520	3,095	0,831	0,520	0,009	0,008	0,520	1,554	0,443	0,520	0,062	0,051	0,260	0,241	0,095	0,520	0,056	0,040
1,350	0,101	0,039	0,540	0,002	0,031	0,540	0,003	0,032	0,540	0,378	0,045	0,540	0,002	0,026	0,540	0,040	0,022	0,540	0,009	0,007	0,540	1,577	0,481	0,540	0,011	0,008	0,540	0,018	0,026	0,540	0,011	0,008	0,540	0,603	0,193	0,540	0,012	0,008	0,540	0,521	0,208	0,540	0,104	0,071	0,270	0,179	0,093	0,540	0,006	0,027
1,400	0,116	0,048	0,560	0,002	0,031	0,560	0,003	0,032	0,560	0,384	0,044	0,560	0,003	0,026	0,560	0,027	0,029	0,560	0,010	0,008	0,560	0,802	0,316	0,560	0,010	0,007	0,560	1,896	0,535	0,560	0,079	0,029	0,560	0,149	0,189	0,560	0,010	0,007	0,560	-0,015	0,090	0,560	0,092	0,049	0,280	0,351	0,129	0,560	-0,008	0,008
1,450	0,130	0,038	0,580	2,753	7,502	0,580	0,003	0,032	0,580	0,390	0,045	0,580	0,002	0,026	0,580	0,002	0,013	0,580	0,010	0,008	0,580	0,265	0,209	0,580	0,011	0,007	0,580	1,803	0,632	0,580	-0,013	0,015	0,580	-0,026	0,137	0,580	0,016	0,009	0,580	0,290	0,160	0,580	-0,033	0,015	0,290	0,107	0,095	0,580	0,006	0,008
1,500	0,145	0,048	0,600	0,008	0,754	0,600	0,003	0,032	0,600	0,395	0,045	0,600	0,003	0,026	0,600	0,003	0,009	0,600	0,009	0,007	0,600	0,165	0,155	0,600	0,011	0,007	0,600	-0,052	0,096	0,600	2,588	0,746	0,600	0,021	0,143	0,600	0,018	0,017	0,600	0,019	0,127	0,600	0,072	0,037	0,300	0,058	0,061	0,600	0,009	0,007
1,550	0,160	0,038	0,620	0,015	0,076	0,620	0,002	0,032	0,620	0,401	0,044	0,620	0,003	0,027	0,620	0,009	0,009	0,620	0,010	0,008	0,620	0,118	0,153	0,620	0,023	0,010	0,620	-0,018	0,083	0,620	2,597	0,744	0,620	6,573E-4	0,149	0,620	0,005	0,007	0,620	0,163	0,146	0,620	-0,013	0,015	0,310	0,090	0,067	0,620	0,009	0,008
1,600	0,175	0,059	0,640	0,020	0,040	0,640	0,003	0,032	0,640	0,407	0,045	0,640	0,002	0,026	0,640	0,007	0,007	0,640	0,100	0,028	0,640	0,124	0,144	0,640	0,021	0,017	0,640	-5,817E-4	0,060	0,640	0,311	0,156	0,640	0,451	0,196	0,640	0,009	0,007	0,640	0,847	0,374	0,640	-0,002	0,008	0,320	0,139	0,071	0,640	0,012	0,009
1,650	0,190	0,038	0,660	0,027	0,039	0,660	0,002	0,032	0,660	0,413	0,044	0,660	0,003	0,026	0,660	0,009	0,008	0,660	0,551	0,157	0,660	-0,034	0,063	0,660	3,738	1,098	0,660	0,323	0,127	0,660	-0,012	0,034	0,660	1,670	0,514	0,660	0,006	0,008	0,660	0,570	0,281	0,660	0,010	0,009	0,330	0,027	0,050	0,660	0,027	0,013
1,700	0,205	0,050	0,680	0,033	0,059	0,680	0,002	0,032	0,680	0,419	0,045	0,680	0,002	0,026	0,680	0,010	0,008	0,680	4,443	1,264	0,680	0,028	0,071	0,680	0,147	0,101	0,680	0,870	0,276	0,680	-0,004	0,026	0,680	1,103	0,405	0,680	0,009	0,007	0,680	0,235	0,182	0,680	0,014	0,011	0,340	0,258	0,092	0,680	-0,056	0,009
1,750	0,220	0,037	0,700	0,038	0,043	0,700	0,002	0,032	0,700	0,425	0,045	0,700	0,003	0,027	0,700	0,010	0,008	0,700	1,431	0,482	0,700	0,127	0,117	0,700	-0,027	0,016	0,700	1,143	0,363	0,700	0,012	0,032	0,700	0,162	0,240	0,700	0,066	0,022	0,700	0,068	0,163	0,700	0,218	0,064	0,350	0,069	0,068	0,700	0,032	0,009
1,800	0,235	0,050	0,720	0,045	0,042	0,720	0,003	0,032	0,720	0,431	0,044	0,720	0,003	0,026	0,720	0,229	0,080	0,720	0,086	0,123	0,720	0,070	0,127	0,720	0,014	0,022	0,720	0,939	0,361	0,720	0,262	0,106	0,720	0,295	0,250	0,720	4,438	1,311	0,720	-0,019	0,141	0,720	0,453	0,149	0,360	0,076	0,053	0,720	0,432	0,109
1,850	0,250	0,037	0,740	0,051	0,042	0,740	0,002	0,032	0,740	0,437	0,045	0,740	0,002	0,026	0,740	0,357	0,129	0,740	0,034	0,071	0,740	0,111	0,139	0,740	0,232	0,086	0,740	0,696	0,268	0,740	0,114	0,093	0,740	0,241	0,290	0,740	1,534	0,407	0,740	-0,007	0,130	0,740	4,951	1,632	0,370	-0,020	0,034	0,740	2,910	0,839
1,900	0,264	0,051	0,760	0,057	0,042	0,760	0,003	0,032	0,760	0,443	0,045	0,760	0,002	0,026	0,760	-0,042	0,018	0,760	-0,016	0,026	0,760	0,064	0,175	0,760	0,334	0,141	0,760	0,586	0,249	0,760	-0,005	0,067	0,760	-0,053	0,232	0,760	0,168	0,195	0,760	0,021	0,137	0,760	1,448	0,422	0,380	0,056	0,028	0,760	4,098	1,355
1,950	0,279	0,022	0,780	0,063	0,042	0,780	0,003	0,032	0,780	0,449	0,052	0,780	0,002	0,027	0,780	0,009	0,016	0,780	0,107	0,074	0,780	-0,004	0,161	0,780	0,361	0,156	0,780	0,039	0,092	0,780	9,869E-4	0,055	0,780	0,178	0,172	0,780	0,078	0,240	0,780	0,022	0,143	0,780	0,107	0,134	0,390	-0,065	0,008	0,780	0,756	0,243
2,000	0,294	0,050	0,800	0,068	0,041	0,800	0,003	0,032	0,800	0,455	0,047	0,800	0,003	0,027	0,800	0,069	0,032	0,800	0,041	0,092	0,800	-0,018	0,140	0,800	0,239	0,124	0,800	0,277	0,154	0,800	0,017	0,059	0,800	0,026	0,204	0,800	0,108	0,101	0,800	0,019	0,147	0,800	-0,085	0,054	0,400	0,024	0,007	0,800	0,480	0,197
2,050	0,309	0,036	0,820	0,075	0,042	0,820	0,002	0,032	0,820	0,460	0,045	0,820	0,002	0,026	0,820	1,541	0,351	0,820	0,181	0,112	0,820	0,059	0,128	0,820	0,537	0,209	0,820	0,021	0,136	0,820	0,020	0,064	0,820	0,115	0,235	0,820	-0,019	0,033	0,820	0,026	0,155	0,820	0,328	0,131	0,410	-0,027	0,007	0,820	0,260	0,131
2,100	0,323	0,053	0,840	0,081	0,043	0,840	0,003	0,032	0,840	0,467	0,045	0,840	0,002	0,026	0,840	3,979	1,392	0,840	0,160	0,136	0,840	0,100	0,150	0,840	0,473	0,206	0,840	0,053	0,105	0,840	0,021	0,070	0,840	-0,005	0,244	0,840	0,101	0,062	0,840	0,022	0,160	0,840	0,880	0,286	0,420	0,039	0,007	0,840	0,419	0,150
2,150	0,338	0,036	0,860	0,087	0,043	0,860	0,002	0,032	0,860	0,473	0,045	0,860	0,002	0,027	0,860	0,075	0,074	0,860	0,251	0,146	0,860	0,119	0,195	0,860	-0,053	0,066	0,860	0,044	0,128	0,860	0,022	0,075	0,860	-0,017	0,217	0,860	0,752	0,279	0,860	0,019	0,164	0,860	0,498	0,190	0,430	-0,022	0,008	0,860	0,498	0,257
2,200	0,353	0,053	0,880	0,093	0,043	0,880	0,003	0,032	0,880	0,479	0,045	0,880	0,003	0,027	0,880	0,198	0,109	0,880	0,322	0,214	0,880	0,023	0,203	0,880	0,014	0,070	0,880	0,015	0,131	0,880	0,028	0,084	0,880	0,010	0,216	0,880	0,685	0,262	0,880	0,020	0,167	0,880	0,352	0,158	0,440	0,041	0,008	0,880	0,626	0,235
2,250	0,368	0,035	0,900	0,099	0,043	0,900	0,003	0,032	0,900	0,484	0,045	0,900	0,002	0,027	0,900	0,082	0,088	0,900	0,229	0,216	0,900	0,037	0,211	0,900	0,100	0,105	0,900	0,205	0,195	0,900	0,019	0,087	0,900	0,008	0,214	0,900	0,509	0,322	0,900	0,022	0,172	0,900	0,273	0,168	0,450	-0,018	0,009	0,900	0,833	0,322
2,300	0,382	0,054	0,920	0,105	0,043	0,920	0,003	0,032	0,920	0,490	0,045	0,920	0,003	0,027	0,920	0,250	0,137	0,920	0,055	0,161	0,920	-0,012	0,198	0,920	-0,010	0,077	0,920	-0,004	0,207	0,920	0,022	0,092	0,920	-0,002	0,205	0,920	0,109	0,232	0,920	0,021	0,177	0,920	0,891	0,298	0,460	0,081	0,018	0,920	0,519	0,251
2,350	0,397	0,045	0,940	0,111	0,044	0,940	0,002	0,032	0,940	0,496	0,044	0,940	0,002	0,026	0,940	0,338	0,172	0,940	0,164	0,179	0,940	0,029	0,202	0,940	0,090	0,107	0,940	-0,007	0,184	0,940	0,023	0,097	0,940	0,016	0,206	0,940	0,066	0,179	0,940	0,022	0,182	0,940	0,813	0,332	0,470	0,030	0,030	0,940	0,211	0,156
2,400	0,412	0,055	0,960	0,117	0,042	0,960	0,003	0,032	0,960	0,502	0,045	0,960	0,002	0,027	0,960	0,109	0,113	0,960	-0,048	0,134	0,960	0,022	0,208	0,960	-0,001	0,088	0,960	0,118	0,217	0,960	0,023	0,102	0,960	0,013	0,206	0,960	0,222	0,239	0,960	0,022	0,186	0,960	0,674	0,335	0,480	0,031	0,013	0,960	-0,015	0,099
2,450	0,427	0,034	0,980	0,123	0,044	0,980	0,003	0,032	0,980	0,508	0,045	0,980	0,002	0,027	0,980	0,005	0,089	0,980	0,009	0,100	0,980	0,011	0,204	0,980	0,040	0,102	0,980	0,088	0,268	0,980	0,023	0,108	0,980	0,020	0,209	0,980	-0,081	0,172	0,980	0,024	0,191	0,980	0,209	0,244	0,490	0,027	0,030	0,980	0,098	0,130
2,500	0,441	0,055	1,000	0,129	0,044	1,000	0,003	0,032	1,000	0,514	0,045	1,000	0,003	0,027	1,000	0,014	0,084	1,000	0,028	0,099	1,000	0,013	0,203	1,000	0,065	0,116	1,000	0,021	0,258	1,000	0,023	0,113	1,000	0,024	0,214	1,000	0,004	0,092	1,000	0,024	0,196	1,000	0,336	0,329	0,500	0,008	0,009	1,000	0,057	0,166
2,550	0,456	0,034	1,020	0,135	0,043	1,020	0,003	0,032	1,020	0,520	0,046	1,020	1,504	2,860	1,020	0,076	0,090	1,020	0,058	0,123	1,020	0,013	0,203	1,020	0,142	0,161	1,020	0,009	0,252	1,020	0,024	0,119	1,020	0,027	0,220	1,020	0,021	0,110	1,020	0,025	0,202	1,020	0,004	0,256	0,510	0,016	0,023	1,020	0,017	0,165
2,600	0,471	0,056	1,040	0,141	0,061	1,040	0,003	0,032	1,040	0,526	0,045	1,040	6,759	9,065	1,040	0,141	0,148	1,040	-0,011	0,105	1,040	0,021	0,205	1,040	0,018	0,140	1,040	0,014	0,243	1,040	0,023	0,124	1,040	0,035	0,232	1,040	0,005	0,107	1,040	0,027	0,209	1,040	0,126	0,279	0,520	0,054	0,023	1,040	-0,041	0,136
2,650	0,486	0,034	1,060	0,147	0,048	1,060	0,003	0,032	1,060	0,532	0,046	1,060	0,006	0,237	1,060	0,017	0,152	1,060	0,017	0,108	1,060	0,022	0,209	1,060	-0,024	0,115	1,060	0,027	0,247	1,060	0,022	0,130	1,060	0,027	0,238	1,060	3,497E-4	0,100	1,060	0,024	0,213	1,060	-0,032	0,256	0,530	-0,035	0,014	1,060	-0,023	0,096
2,700	0,501	0,045	1,080	0,152	0,044	1,080	0,003	0,032	1,080	0,538	0,045	1,080	0,013	0,010	1,080	-0,018	0,127	1,080	0,020	0,113	1,080	0,024	0,213	1,080	0,005	0,121	1,080	0,023	0,249	1,080	0,023	0,135	1,080	0,026	0,243	1,080	0,017	0,104	1,080	0,023	0,217	1,080	-0,017	0,223	0,540	0,902	0,196	1,080	0,019	0,103
2,750	0,515	0,033	1,100	0,159	0,044	1,100	0,003	0,032	1,100	0,544	0,045	1,100	0,019	0,018	1,100	0,033	0,137	1,100	0,022	0,120	1,100	0,029	0,221	1,100	0,021	0,126	1,100	-0,008	0,233	1,100	0,024	0,141	1,100	0,029	0,250	1,100	0,021	0,109	1,100	0,027	0,224	1,100	0,032	0,242	0,550	1,247	0,315	1,100	0,111	0,147
2,800	0,530	0,056	1,120	0,165	0,043	1,120	0,003	0,032	1,120	0,550	0,046	1,120	0,025	0,025	1,120	0,015	0,139	1,120	0,022	0,125	1,120	0,044	0,233	1,120	0,032	0,135	1,120	-0,051	0,185	1,120	0,024	0,146	1,120	0,030	0,256	1,120	0,023	0,115	1,120	0,025	0,229	1,120	0,087	0,273	0,560	2,523	0,665	1,120	-0,030	0,110
2,850	0,545	0,033	1,140	0,171	0,044	1,140	0,002	0,032	1,140	0,555	0,045	1,140	0,032	0,098	1,140	0,004	0,147	1,140	0,023	0,130	1,140	0,034	0,243	1,140	0,026	0,144	1,140	-0,017	0,167	1,140	0,024	0,151	1,140	0,026	0,263	1,140	0,022	0,120	1,140	0,026	0,234	1,140	0,029	0,278	0,570	6,255	2,041	1,140	0,020	0,116
2,900	0,560	0,057	1,160	0,176	0,044	1,160	0,003	0,032	1,160	0,561	0,046	1,160	0,038	0,054	1,160	0,024	0,153	1,160	0,023	0,135	1,160	0,021	0,242	1,160	0,016	0,142	1,160	0,013	0,168	1,160	0,025	0,157	1,160	0,025	0,266	1,160	0,021	0,125	1,160	0,027	0,240	1,160	0,022	0,280	0,580	0,557	0,182	1,160	0,022	0,125
