Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
0,500	-6,919	0,001	0,500	-6,904	0,002	0,500	-6,906	0,004	0,500	-6,939	0,003	0,500	-6,950	0,002	0,500	-7,011	0,011	0,500	-7,015	0,025	0,500	-6,956	0,003	0,500	-7,016	0,002
0,550	-6,920	0,001	0,550	-6,904	0,003	0,550	-6,906	0,003	0,550	-6,940	0,002	0,550	-6,951	0,002	0,550	-7,010	0,010	0,550	-7,015	0,024	0,550	-6,956	0,003	0,550	-7,016	0,003
0,600	-6,920	8,127E-4	0,600	-6,904	0,002	0,600	-6,906	0,004	0,600	-6,939	0,002	0,600	-6,950	0,002	0,600	-7,011	0,010	0,600	-7,015	0,025	0,600	-6,951	0,003	0,600	-7,017	0,002
0,650	-6,920	0,001	0,650	-6,904	0,003	0,650	-6,906	0,003	0,650	-6,940	0,002	0,650	-6,951	0,002	0,650	-7,011	0,010	0,650	-7,015	0,025	0,650	-6,933	0,003	0,650	-7,016	0,003
0,700	-6,920	0,001	0,700	-6,904	0,002	0,700	-6,906	0,004	0,700	-6,940	0,002	0,700	-6,950	0,003	0,700	-7,011	0,011	0,700	-7,016	0,025	0,700	-6,909	0,004	0,700	-7,016	0,002
0,750	-6,920	0,001	0,750	-6,904	0,003	0,750	-6,906	0,003	0,750	-6,940	0,001	0,750	-6,951	0,002	0,750	-7,011	0,010	0,750	-7,015	0,025	0,750	-6,892	0,003	0,750	-6,991	0,003
0,800	-6,920	8,347E-4	0,800	-6,904	0,003	0,800	-6,906	0,004	0,800	-6,940	0,002	0,800	-6,950	0,002	0,800	-7,011	0,011	0,800	-7,015	0,025	0,800	-6,870	0,003	0,800	-6,929	0,002
0,850	-6,920	0,001	0,850	-6,904	0,003	0,850	-6,906	0,003	0,850	-6,940	0,001	0,850	-6,951	0,002	0,850	-7,011	0,010	0,850	-7,015	0,025	0,850	-6,855	0,003	0,850	-6,892	0,003
0,900	-6,920	9,238E-4	0,900	-6,904	0,002	0,900	-6,906	0,004	0,900	-6,940	0,002	0,900	-6,951	0,002	0,900	-7,011	0,010	0,900	-7,015	0,025	0,900	-6,855	0,003	0,900	-6,892	0,002
0,950	-6,920	0,001	0,950	-6,904	0,003	0,950	-6,906	0,003	0,950	-6,941	0,001	0,950	-6,951	0,002	0,950	-7,011	0,010	0,950	-7,015	0,025	0,950	-6,855	0,002	0,950	-6,889	0,003
1,000	-6,920	7,676E-4	1,000	-6,904	0,002	1,000	-6,906	0,004	1,000	-6,940	0,002	1,000	-6,950	0,002	1,000	-7,011	0,011	1,000	-7,015	0,025	1,000	-6,855	0,004	1,000	-6,868	0,002
1,050	-6,920	0,001	1,050	-6,904	0,003	1,050	-6,907	0,003	1,050	-6,941	0,001	1,050	-6,951	0,002	1,050	-7,011	0,010	1,050	-7,015	0,025	1,050	-6,863	0,003	1,050	-6,848	0,003
1,100	-6,920	8,494E-4	1,100	-6,904	0,002	1,100	-6,906	0,004	1,100	-6,940	0,002	1,100	-6,951	0,002	1,100	-7,010	0,011	1,100	-7,015	0,025	1,100	-6,863	0,003	1,100	-6,837	0,002
1,150	-6,921	0,001	1,150	-6,904	0,003	1,150	-6,906	0,003	1,150	-6,941	0,002	1,150	-6,951	0,002	1,150	-7,011	0,010	1,150	-7,015	0,025	1,150	-6,853	0,003	1,150	-6,745	0,002
1,200	-6,921	7,737E-4	1,200	-6,904	0,002	1,200	-6,906	0,004	1,200	-6,941	0,002	1,200	-6,951	0,002	1,200	-7,011	0,011	1,200	-7,015	0,026	1,200	-6,810	0,003	1,200	-6,679	0,001
1,250	-6,921	0,002	1,250	-6,904	0,003	1,250	-6,906	0,003	1,250	-6,941	0,002	1,250	-6,952	0,002	1,250	-7,011	0,010	1,250	-7,015	0,025	1,250	-6,750	0,003	1,250	-6,628	0,003
1,300	-6,921	7,810E-4	1,300	-6,905	0,002	1,300	-6,907	0,004	1,300	-6,941	0,002	1,300	-6,951	0,002	1,300	-7,010	0,011	1,300	-7,015	0,026	1,300	-6,706	0,003	1,300	-6,599	0,002
1,350	-6,921	0,001	1,350	-6,904	0,003	1,350	-6,906	0,003	1,350	-6,941	0,002	1,350	-6,952	0,002	1,350	-7,011	0,010	1,350	-7,015	0,025	1,350	-6,652	0,003	1,350	-6,589	0,002
1,400	-6,921	0,001	1,400	-6,904	0,002	1,400	-6,907	0,004	1,400	-6,941	0,002	1,400	-6,951	0,002	1,400	-7,006	0,011	1,400	-7,015	0,026	1,400	-6,600	0,003	1,400	-6,589	0,002
1,450	-6,921	0,001	1,450	-6,904	0,003	1,450	-6,907	0,003	1,450	-6,941	0,001	1,450	-6,952	0,002	1,450	-6,951	0,010	1,450	-7,015	0,025	1,450	-6,594	0,003	1,450	-6,589	0,003
1,500	-6,921	0,001	1,500	-6,905	0,002	1,500	-6,906	0,004	1,500	-6,941	0,002	1,500	-6,951	0,003	1,500	-6,886	0,012	1,500	-7,015	0,026	1,500	-6,594	0,004	1,500	-6,589	0,002
1,550	-6,921	0,001	1,550	-6,904	0,003	1,550	-6,906	0,003	1,550	-6,942	0,001	1,550	-6,952	0,002	1,550	-6,827	0,011	1,550	-7,015	0,025	1,550	-6,594	0,003	1,550	-6,589	0,002
1,600	-6,921	9,690E-4	1,600	-6,904	0,002	1,600	-6,907	0,004	1,600	-6,941	0,002	1,600	-6,952	0,002	1,600	-6,817	0,012	1,600	-7,016	0,025	1,600	-6,594	0,003	1,600	-6,595	0,002
1,650	-6,921	0,002	1,650	-6,904	0,003	1,650	-6,907	0,003	1,650	-6,942	0,001	1,650	-6,929	0,002	1,650	-6,817	0,011	1,650	-7,015	0,025	1,650	-6,594	0,003	1,650	-6,597	0,003
1,700	-6,921	8,872E-4	1,700	-6,905	0,002	1,700	-6,907	0,004	1,700	-6,941	0,002	1,700	-6,872	0,003	1,700	-6,817	0,012	1,700	-7,015	0,026	1,700	-6,595	0,004	1,700	-6,580	0,002
1,750	-6,921	0,001	1,750	-6,904	0,003	1,750	-6,906	0,003	1,750	-6,942	0,002	1,750	-6,824	0,002	1,750	-6,817	0,011	1,750	-7,015	0,025	1,750	-6,594	0,002	1,750	-6,544	0,002
1,800	-6,922	7,859E-4	1,800	-6,905	0,002	1,800	-6,906	0,004	1,800	-6,941	0,002	1,800	-6,758	0,003	1,800	-6,816	0,012	1,800	-6,988	0,026	1,800	-6,589	0,003	1,800	-6,499	0,001
1,850	-6,922	0,001	1,850	-6,904	0,003	1,850	-6,906	0,003	1,850	-6,942	0,002	1,850	-6,709	0,002	1,850	-6,821	0,011	1,850	-6,966	0,026	1,850	-6,494	0,003	1,850	-6,443	0,002
1,900	-6,922	0,001	1,900	-6,905	0,002	1,900	-6,906	0,004	1,900	-6,941	0,002	1,900	-6,698	0,002	1,900	-6,821	0,012	1,900	-6,965	0,026	1,900	-6,355	0,003	1,900	-6,394	0,001
1,950	-6,922	0,001	1,950	-6,904	0,003	1,950	-6,906	0,003	1,950	-6,942	0,002	1,950	-6,698	0,002	1,950	-6,816	0,011	1,950	-6,965	0,026	1,950	-6,307	0,003	1,950	-6,368	0,002
2,000	-6,922	9,080E-4	2,000	-6,904	0,002	2,000	-6,907	0,004	2,000	-6,942	0,002	2,000	-6,698	0,002	2,000	-6,782	0,012	2,000	-6,965	0,026	2,000	-6,280	0,003	2,000	-6,307	0,001
2,050	-6,922	0,002	2,050	-6,904	0,003	2,050	-6,906	0,004	2,050	-6,942	0,002	2,050	-6,698	0,002	2,050	-6,715	0,012	2,050	-6,965	0,026	2,050	-6,279	0,003	2,050	-6,256	0,002
2,100	-6,922	0,001	2,100	-6,904	0,002	2,100	-6,907	0,004	2,100	-6,941	0,002	2,100	-6,697	0,002	2,100	-6,656	0,013	2,100	-6,964	0,026	2,100	-6,279	0,004	2,100	-6,186	0,002
2,150	-6,922	0,001	2,150	-6,905	0,003	2,150	-6,907	0,003	2,150	-6,942	0,002	2,150	-6,636	0,002	2,150	-6,625	0,012	2,150	-6,913	0,026	2,150	-6,279	0,003	2,150	-6,171	0,002
2,200	-6,922	8,384E-4	2,200	-6,904	0,002	2,200	-6,907	0,004	2,200	-6,942	0,002	2,200	-6,540	0,003	2,200	-6,601	0,013	2,200	-6,812	0,027	2,200	-6,280	0,003	2,200	-6,171	0,001
2,250	-6,923	0,001	2,250	-6,904	0,003	2,250	-6,907	0,003	2,250	-6,942	0,002	2,250	-6,495	0,002	2,250	-6,583	0,013	2,250	-6,742	0,027	2,250	-6,283	0,003	2,250	-6,171	0,002
2,300	-6,923	7,615E-4	2,300	-6,905	0,002	2,300	-6,907	0,004	2,300	-6,942	0,002	2,300	-6,467	0,003	2,300	-6,583	0,013	2,300	-6,672	0,028	2,300	-6,258	0,003	2,300	-6,171	0,001
2,350	-6,922	0,002	2,350	-6,904	0,003	2,350	-6,907	0,003	2,350	-6,943	0,002	2,350	-6,429	0,002	2,350	-6,582	0,013	2,350	-6,647	0,027	2,350	-6,154	0,002	2,350	-6,171	0,002
2,400	-6,922	0,001	2,400	-6,904	0,002	2,400	-6,907	0,004	2,400	-6,942	0,002	2,400	-6,384	0,002	2,400	-6,583	0,013	2,400	-6,647	0,028	2,400	-6,055	0,004	2,400	-6,171	0,001
2,450	-6,922	0,002	2,450	-6,904	0,003	2,450	-6,907	0,003	2,450	-6,942	0,002	2,450	-6,334	0,002	2,450	-6,584	0,013	2,450	-6,647	0,027	2,450	-6,027	0,002	2,450	-6,125	0,002
2,500	-6,922	0,001	2,500	-6,904	0,002	2,500	-6,907	0,004	2,500	-6,942	0,002	2,500	-6,324	0,003	2,500	-6,585	0,013	2,500	-6,647	0,028	2,500	-5,980	0,003	2,500	-6,040	0,001
2,550	-6,923	0,001	2,550	-6,904	0,003	2,550	-6,907	0,003	2,550	-6,943	0,002	2,550	-6,324	0,002	2,550	-6,583	0,013	2,550	-6,648	0,027	2,550	-5,973	0,003	2,550	-5,966	0,002
2,600	-6,922	0,001	2,600	-6,904	0,002	2,600	-6,907	0,004	2,600	-6,943	0,002	2,600	-6,324	0,002	2,600	-6,579	0,014	2,600	-6,650	0,027	2,600	-5,973	0,003	2,600	-5,884	0,001
2,650	-6,923	0,001	2,650	-6,904	0,003	2,650	-6,907	0,004	2,650	-6,943	0,001	2,650	-6,324	0,002	2,650	-6,550	0,013	2,650	-6,647	0,027	2,650	-5,973	0,003	2,650	-5,851	0,002
2,700	-6,922	0,001	2,700	-6,904	0,002	2,700	-6,907	0,004	2,700	-6,943	0,002	2,700	-6,324	0,002	2,700	-6,504	0,014	2,700	-6,592	0,028	2,700	-5,973	0,003	2,700	-5,840	0,002
2,750	-6,923	0,001	2,750	-6,904	0,003	2,750	-6,907	0,003	2,750	-6,943	0,002	2,750	-6,310	0,002	2,750	-6,423	0,013	2,750	-6,513	0,028	2,750	-5,974	0,003	2,750	-5,840	0,002
2,800	-6,923	0,001	2,800	-6,904	0,002	2,800	-6,892	0,004	2,800	-6,942	0,002	2,800	-6,196	0,003	2,800	-6,369	0,014	2,800	-6,403	0,029	2,800	-5,974	0,004	2,800	-5,840	0,001
2,850	-6,923	0,001	2,850	-6,904	0,003	2,850	-6,835	0,004	2,850	-6,943	0,002	2,850	-6,076	0,002	2,850	-6,301	0,014	2,850	-6,306	0,029	2,850	-5,964	0,003	2,850	-5,840	0,002
2,900	-6,923	0,001	2,900	-6,904	0,002	2,900	-6,824	0,005	2,900	-6,943	0,002	2,900	-6,032	0,003	2,900	-6,240	0,015	2,900	-6,221	0,029	2,900	-5,898	0,003	2,900	-5,843	0,001
2,950	-6,923	0,001	2,950	-6,904	0,003	2,950	-6,824	0,004	2,950	-6,943	0,002	2,950	-5,936	0,002	2,950	-6,209	0,014	2,950	-6,154	0,029	2,950	-5,833	0,003	2,950	-5,838	0,002
3,000	-6,923	9,849E-4	3,000	-6,904	0,002	3,000	-6,825	0,005	3,000	-6,943	0,002	3,000	-5,837	0,003	3,000	-6,208	0,015	3,000	-6,133	0,030	3,000	-5,786	0,004	3,000	-5,768	0,001
3,050	-6,923	0,001	3,050	-6,899	0,003	3,050	-6,824	0,004	3,050	-6,943	0,002	3,050	-5,733	0,002	3,050	-6,208	0,014	3,050	-6,133	0,029	3,050	-5,719	0,003	3,050	-5,656	0,002
3,100	-6,923	8,713E-4	3,100	-6,874	0,002	3,100	-6,825	0,005	3,100	-6,943	0,002	3,100	-5,711	0,003	3,100	-6,208	0,015	3,100	-6,133	0,030	3,100	-5,709	0,003	3,100	-5,585	0,001
3,150	-6,923	0,002	3,150	-6,873	0,003	3,150	-6,825	0,004	3,150	-6,944	0,002	3,150	-5,711	0,003	3,150	-6,208	0,015	3,150	-6,133	0,029	3,150	-5,709	0,003	3,150	-5,520	0,002
3,200	-6,923	0,001	3,200	-6,873	0,003	3,200	-6,814	0,005	3,200	-6,943	0,002	3,200	-5,712	0,003	3,200	-6,208	0,015	3,200	-6,134	0,030	3,200	-5,709	0,003	3,200	-5,496	0,001
3,250	-6,923	0,002	3,250	-6,873	0,003	3,250	-6,760	0,005	3,250	-6,944	0,002	3,250	-5,712	0,002	3,250	-6,188	0,015	3,250	-6,116	0,029	3,250	-5,709	0,002	3,250	-5,496	0,002
3,300	-6,923	0,001	3,300	-6,873	0,002	3,300	-6,715	0,006				3,300	-5,712	0,003	3,300	-6,119	0,016	3,300	-6,034	0,030	3,300	-5,709	0,003	3,300	-5,496	0,001
3,350	-6,924	0,001	3,350	-6,875	0,003	3,350	-6,692	0,005				3,350	-5,705	0,002	3,350	-6,064	0,015	3,350	-5,914	0,031	3,350	-5,709	0,002	3,350	-5,495	0,002
3,400	-6,924	0,001	3,400	-6,869	0,002	3,400	-6,635	0,006				3,400	-5,637	0,003	3,400	-5,991	0,016	3,400	-5,794	0,031	3,400	-5,691	0,003	3,400	-5,496	0,001
3,450	-6,924	0,002	3,450	-6,855	0,003	3,450	-6,568	0,006				3,450	-5,584	0,002	3,450	-5,924	0,016	3,450	-5,669	0,031	3,450	-5,635	0,003	3,450	-5,496	0,002
3,500	-6,924	0,001	3,500	-6,807	0,003	3,500	-6,539	0,007				3,500	-5,551	0,003	3,500	-5,858	0,017	3,500	-5,600	0,032	3,500	-5,582	0,003	3,500	-5,473	0,001
3,550	-6,925	0,001	3,550	-6,746	0,004	3,550	-6,538	0,006				3,550	-5,523	0,002	3,550	-5,846	0,016	3,550	-5,577	0,032	3,550	-5,521	0,002	3,550	-5,371	0,002
3,600	-6,924	0,001	3,600	-6,689	0,004	3,600	-6,538	0,007				3,600	-5,496	0,003	3,600	-5,845	0,017	3,600	-5,577	0,032	3,600	-5,456	0,003	3,600	-5,284	0,001
3,650	-6,925	0,001	3,650	-6,648	0,005	3,650	-6,538	0,006				3,650	-5,459	0,002	3,650	-5,845	0,016	3,650	-5,578	0,031	3,650	-5,377	0,003	3,650	-5,226	0,002
3,700	-6,925	8,005E-4	3,700	-6,645	0,004	3,700	-6,538	0,007				3,700	-5,424	0,002	3,700	-5,845	0,017	3,700	-5,577	0,032	3,700	-5,368	0,003	3,700	-5,167	0,001
3,750	-6,924	0,002	3,750	-6,645	0,005	3,750	-6,538	0,006				3,750	-5,402	0,002	3,750	-5,845	0,016	3,750	-5,577	0,032	3,750	-5,368	0,003	3,750	-5,100	0,002
3,800	-6,924	0,001	3,800	-6,646	0,004	3,800	-6,503	0,007				3,800	-5,332	0,003	3,800	-5,848	0,017	3,800	-5,569	0,032	3,800	-5,368	0,003	3,800	-5,078	0,001
3,850	-6,925	0,001	3,850	-6,645	0,005	3,850	-6,448	0,007				3,850	-5,291	0,002	3,850	-5,842	0,016	3,850	-5,480	0,032	3,850	-5,368	0,003	3,850	-5,076	0,002
3,900	-6,925	9,971E-4	3,900	-6,644	0,004	3,900	-6,409	0,008				3,900	-5,291	0,003	3,900	-5,794	0,017	3,900	-5,358	0,033	3,900	-5,368	0,003	3,900	-5,077	0,001
3,950	-6,925	0,001	3,950	-6,643	0,005	3,950	-6,372	0,007				3,950	-5,291	0,002	3,950	-5,744	0,017	3,950	-5,264	0,033	3,950	-5,368	0,002	3,950	-5,077	0,002
4,000	-6,925	0,001	4,000	-6,615	0,004	4,000	-6,307	0,009				4,000	-5,291	0,002	4,000	-5,671	0,018	4,000	-5,165	0,034	4,000	-5,356	0,003	4,000	-5,077	0,001
4,050	-6,925	0,001	4,050	-6,546	0,006	4,050	-6,247	0,008				4,050	-5,291	0,002	4,050	-5,612	0,017	4,050	-5,061	0,034	4,050	-5,243	0,003	4,050	-5,074	0,002
4,100	-6,925	0,001	4,100	-6,479	0,005	4,100	-6,209	0,009				4,100	-5,291	0,003	4,100	-5,554	0,018	4,100	-4,985	0,035	4,100	-5,119	0,003	4,100	-5,010	0,001
4,150	-6,925	0,002	4,150	-6,439	0,006	4,150	-6,206	0,009				4,150	-5,290	0,002	4,150	-5,511	0,018	4,150	-4,982	0,034	4,150	-5,001	0,002	4,150	-4,915	0,002
4,200	-6,925	0,001	4,200	-6,430	0,006	4,200	-6,206	0,009				4,200	-5,202	0,003	4,200	-5,496	0,018	4,200	-4,982	0,035	4,200	-4,942	0,003	4,200	-4,798	0,001
4,250	-6,925	0,001	4,250	-6,430	0,006	4,250	-6,206	0,009				4,250	-5,047	0,002	4,250	-5,497	0,017	4,250	-4,982	0,034	4,250	-4,934	0,002	4,250	-4,700	0,002
4,300	-6,925	0,001	4,300	-6,430	0,006	4,300	-6,206	0,009				4,300	-4,993	0,003	4,300	-5,496	0,019	4,300	-4,981	0,035	4,300	-4,934	0,003	4,300	-4,638	0,001
4,350	-6,926	0,001	4,350	-6,430	0,007	4,350	-6,206	0,009				4,350	-4,985	0,002	4,350	-5,496	0,018	4,350	-4,982	0,034	4,350	-4,934	0,002	4,350	-4,607	0,002
4,400	-6,925	0,001	4,400	-6,430	0,006	4,400	-6,190	0,009				4,400	-4,957	0,003	4,400	-5,496	0,019	4,400	-4,976	0,035	4,400	-4,934	0,003	4,400	-4,607	8,811E-4
4,450	-6,926	0,001	4,450	-6,430	0,007	4,450	-6,108	0,009				4,450	-4,949	0,002	4,450	-5,497	0,018	4,450	-4,868	0,035	4,450	-4,934	0,002	4,450	-4,607	0,002
4,500	-6,925	0,001	4,500	-6,421	0,006	4,500	-6,043	0,011				4,500	-4,936	0,003	4,500	-5,500	0,019	4,500	-4,754	0,036	4,500	-4,929	0,003	4,500	-4,607	7,017E-4
4,550	-6,926	0,001	4,550	-6,330	0,007	4,550	-5,971	0,011				4,550	-4,935	0,002	4,550	-5,466	0,018	4,550	-4,609	0,036	4,550	-4,854	0,002	4,550	-4,607	0,002
4,600	-6,925	0,001	4,600	-6,232	0,007	4,600	-5,846	0,012				4,600	-4,935	0,003	4,600	-5,408	0,019	4,600	-4,467	0,037	4,600	-4,733	0,003	4,600	-4,610	8,530E-4
4,650	-6,926	0,001	4,650	-6,146	0,009	4,650	-5,744	0,012				4,650	-4,935	0,002	4,650	-5,355	0,019	4,650	-4,353	0,037	4,650	-4,671	0,002	4,650	-4,579	0,002
4,700	-6,926	8,591E-4	4,700	-6,100	0,008	4,700	-5,686	0,014				4,700	-4,935	0,003	4,700	-5,313	0,019	4,700	-4,333	0,037	4,700	-4,628	0,003	4,700	-4,494	0,001
4,750	-6,926	0,002	4,750	-6,098	0,009	4,750	-5,682	0,013				4,750	-4,933	0,002	4,750	-5,276	0,019	4,750	-4,333	0,037	4,750	-4,623	0,002	4,750	-4,400	0,002
4,800	-6,926	0,001	4,800	-6,097	0,009	4,800	-5,683	0,014				4,800	-4,875	0,003	4,800	-5,236	0,020	4,800	-4,333	0,037	4,800	-4,625	0,003	4,800	-4,317	0,001
4,850	-6,926	0,002	4,850	-6,098	0,009	4,850	-5,683	0,013				4,850	-4,855	0,003	4,850	-5,172	0,019	4,850	-4,333	0,037	4,850	-4,625	0,002	4,850	-4,234	0,002
4,900	-6,926	0,001	4,900	-6,098	0,008	4,900	-5,683	0,014				4,900	-4,831	0,003	4,900	-5,120	0,020	4,900	-4,333	0,038	4,900	-4,625	0,003	4,900	-4,220	9,128E-4
4,950	-6,926	0,001	4,950	-6,098	0,009	4,950	-5,683	0,013				4,950	-4,786	0,003	4,950	-5,110	0,019	4,950	-4,333	0,037	4,950	-4,625	0,002	4,950	-4,220	0,001
5,000	-6,926	0,001	5,000	-6,098	0,008	5,000	-5,677	0,014				5,000	-4,759	0,003	5,000	-5,109	0,020	5,000	-4,325	0,038	5,000	-4,625	0,003	5,000	-4,220	0,001
5,050	-6,927	0,001	5,050	-6,075	0,009	5,050	-5,628	0,013				5,050	-4,730	0,002	5,050	-5,110	0,019	5,050	-4,230	0,038	5,050	-4,626	0,002	5,050	-4,220	0,002
5,100	-6,926	0,001	5,100	-5,976	0,009	5,100	-5,572	0,014				5,100	-4,675	0,003	5,100	-5,110	0,020	5,100	-4,089	0,038	5,100	-4,579	0,003	5,100	-4,219	8,823E-4
5,150	-6,927	0,001	5,150	-5,902	0,011	5,150	-5,465	0,015				5,150	-4,663	0,002	5,150	-5,111	0,020	5,150	-3,956	0,039	5,150	-4,536	0,002	5,150	-4,209	0,002
5,200	-6,926	0,001	5,200	-5,820	0,011	5,200	-5,329	0,017				5,200	-4,627	0,003	5,200	-5,112	0,020	5,200	-3,806	0,040	5,200	-4,502	0,003	5,200	-4,128	9,019E-4
5,250	-6,927	0,002	5,250	-5,709	0,013	5,250	-5,182	0,018				5,250	-4,619	0,002	5,250	-5,078	0,020	5,250	-3,789	0,039	5,250	-4,436	0,002	5,250	-4,058	0,002
5,300	-6,927	0,001	5,300	-5,647	0,012	5,300	-5,087	0,019				5,300	-4,619	0,003	5,300	-5,034	0,021	5,300	-3,789	0,040	5,300	-4,343	0,003	5,300	-3,998	6,541E-4
5,350	-6,927	0,001	5,350	-5,641	0,013	5,350	-5,071	0,019				5,350	-4,619	0,002	5,350	-4,968	0,020	5,350	-3,789	0,039	5,350	-4,309	0,002	5,350	-3,958	0,002
5,400	-6,925	0,001	5,400	-5,641	0,012	5,400	-5,072	0,019				5,400	-4,619	0,003	5,400	-4,913	0,021	5,400	-3,789	0,040	5,400	-4,308	0,003	5,400	-3,922	6,467E-4
5,450	-6,868	0,001	5,450	-5,641	0,013	5,450	-5,072	0,019				5,450	-4,618	0,003	5,450	-4,885	0,021	5,450	-3,789	0,039	5,450	-4,308	0,002	5,450	-3,900	0,002
5,500	-6,751	0,002	5,500	-5,640	0,012	5,500	-5,071	0,020				5,500	-4,594	0,003	5,500	-4,859	0,021	5,500	-3,789	0,040	5,500	-4,308	0,003	5,500	-3,899	7,212E-4
5,550	-6,672	0,003	5,550	-5,641	0,013	5,550	-5,071	0,019				5,550	-4,524	0,003	5,550	-4,832	0,021	5,550	-3,789	0,039	5,550	-4,308	0,002	5,550	-3,899	0,002
5,600	-6,655	0,003	5,600	-5,643	0,012	5,600	-5,072	0,020				5,600	-4,465	0,003	5,600	-4,832	0,022	5,600	-3,724	0,040	5,600	-4,308	0,003	5,600	-3,899	7,200E-4
5,650	-6,655	0,004	5,650	-5,615	0,013	5,650	-5,058	0,019				5,650	-4,369	0,002	5,650	-4,832	0,021	5,650	-3,612	0,040	5,650	-4,308	0,002	5,650	-3,898	0,001
5,700	-6,655	0,003	5,700	-5,555	0,013	5,700	-4,965	0,020				5,700	-4,232	0,003	5,700	-4,831	0,022	5,700	-3,432	0,042	5,700	-4,307	0,003	5,700	-3,835	5,967E-4
