Zeit (s) Ringkern 1 Schalter Links	Spannung, Ch A (V) Ringkern 1 Schalter Links	Spannung, Ch B (V) Ringkern 1 Schalter Links
28,200	0,012	-0,010
28,250	0,012	-0,011
28,300	0,012	-0,011
28,350	0,011	-0,011
28,400	0,011	-0,011
28,450	0,011	-0,012
28,500	0,011	-0,011
28,550	0,011	-0,012
28,600	0,011	-0,012
28,650	0,011	-0,012
28,700	0,011	-0,012
28,750	0,011	-0,013
28,800	0,011	-0,013
28,850	0,011	-0,013
28,900	0,011	-0,013
28,950	0,010	-0,014
29,000	0,010	-0,013
29,050	0,010	-0,014
29,100	0,010	-0,014
29,150	0,010	-0,014
29,200	0,009	-0,015
29,250	0,010	-0,015
29,300	0,009	-0,015
29,350	0,009	-0,016
29,400	0,009	-0,015
29,450	0,009	-0,016
29,500	0,009	-0,015
29,550	0,009	-0,016
29,600	0,009	-0,016
29,650	0,009	-0,016
29,700	0,009	-0,016
29,750	0,009	-0,017
29,800	0,009	-0,017
29,850	0,009	-0,017
29,900	0,009	-0,017
29,950	0,009	-0,017
30,000	0,008	-0,017
30,050	0,008	-0,018
30,100	0,008	-0,017
30,150	0,009	-0,018
30,200	0,008	-0,017
30,250	0,008	-0,018
30,300	0,008	-0,017
30,350	0,008	-0,018
30,400	0,008	-0,018
30,450	0,008	-0,018
30,500	0,008	-0,018
30,550	0,008	-0,018
30,600	0,008	-0,018
30,650	0,008	-0,018
30,700	0,008	-0,018
30,750	0,008	-0,019
30,800	0,008	-0,018
30,850	0,008	-0,018
30,900	0,008	-0,018
30,950	0,008	-0,018
31,000	0,008	-0,018
31,050	0,008	-0,018
31,100	0,008	-0,018
31,150	0,008	-0,018
31,200	0,008	-0,018
31,250	0,008	-0,019
31,300	0,008	-0,019
31,350	0,007	-0,020
31,400	0,008	-0,019
31,450	0,007	-0,020
31,500	0,007	-0,020
31,550	0,007	-0,021
31,600	0,007	-0,021
31,650	0,007	-0,022
31,700	0,007	-0,022
31,750	0,007	-0,022
31,800	0,006	-0,022
31,850	0,006	-0,023
31,900	0,006	-0,023
31,950	0,006	-0,023
32,000	0,006	-0,023
32,050	0,006	-0,024
32,100	0,006	-0,024
32,150	0,006	-0,024
32,200	0,006	-0,024
32,250	0,006	-0,025
32,300	0,006	-0,024
32,350	0,006	-0,025
32,400	0,006	-0,024
32,450	0,005	-0,025
32,500	0,005	-0,025
32,550	0,005	-0,026
32,600	0,005	-0,025
32,650	0,005	-0,026
32,700	0,005	-0,026
32,750	0,005	-0,027
32,800	0,005	-0,026
32,850	0,005	-0,027
32,900	0,005	-0,026
32,950	0,005	-0,027
33,000	0,005	-0,026
33,050	0,005	-0,027
33,100	0,005	-0,027
33,150	0,005	-0,028
33,200	0,005	-0,027
33,250	0,004	-0,029
33,300	0,004	-0,028
33,350	0,004	-0,029
33,400	0,005	-0,028
33,450	0,005	-0,028
33,500	0,004	-0,028
33,550	0,004	-0,028
33,600	0,004	-0,028
33,650	0,005	-0,028
33,700	0,005	-0,027
33,750	0,004	-0,029
33,800	0,004	-0,028
33,850	0,004	-0,029
33,900	0,004	-0,029
33,950	0,004	-0,030
34,000	0,004	-0,029
34,050	0,004	-0,030
34,100	0,004	-0,030
34,150	0,003	-0,032
34,200	0,003	-0,031
34,250	0,003	-0,032
34,300	0,003	-0,032
34,350	0,003	-0,033
34,400	0,003	-0,033
34,450	0,003	-0,034
34,500	0,003	-0,034
34,550	0,002	-0,035
34,600	0,002	-0,034
34,650	0,003	-0,035
34,700	0,003	-0,035
34,750	0,002	-0,036
34,800	0,002	-0,035
34,850	0,003	-0,036
34,900	0,003	-0,035
34,950	0,003	-0,036
35,000	0,002	-0,036
35,050	0,002	-0,037
35,100	0,002	-0,036
35,150	0,002	-0,037
35,200	0,002	-0,037
35,250	0,002	-0,038
35,300	0,002	-0,037
35,350	0,002	-0,039
35,400	0,002	-0,038
35,450	0,002	-0,040
35,500	0,002	-0,039
35,550	0,001	-0,041
35,600	0,001	-0,040
35,650	0,001	-0,041
35,700	0,002	-0,041
35,750	0,002	-0,042
35,800	0,001	-0,041
35,850	0,001	-0,043
35,900	0,001	-0,042
35,950	0,001	-0,044
36,000	9,971E-4	-0,044
36,050	0,001	-0,045
36,100	0,001	-0,045
36,150	8,652E-4	-0,046
36,200	0,001	-0,045
36,250	8,494E-4	-0,046
36,300	0,001	-0,046
36,350	8,982E-4	-0,047
36,400	6,357E-4	-0,047
36,450	7,090E-4	-0,047
36,500	7,603E-4	-0,047
36,550	9,666E-4	-0,047
36,600	6,406E-4	-0,047
36,650	9,421E-4	-0,047
36,700	6,663E-4	-0,047
36,750	4,111E-4	-0,048
36,800	7,468E-4	-0,047
36,850	9,690E-4	-0,047
36,900	8,054E-4	-0,046
36,950	9,287E-4	-0,047
37,000	0,001	-0,046
37,050	7,139E-4	-0,047
37,100	0,001	-0,046
37,150	9,031E-4	-0,047
37,200	7,090E-4	-0,047
37,250	3,745E-4	-0,051
37,300	4,465E-4	-0,052
37,350	3,916E-4	-0,054
37,400	3,879E-4	-0,053
37,450	3,855E-4	-0,055
37,500	2,598E-4	-0,054
37,550	1,023E-4	-0,055
37,600	2,817E-4	-0,054
37,650	1,304E-4	-0,055
37,700	1,414E-4	-0,054
37,750	1,926E-4	-0,055
37,800	2,207E-4	-0,055
37,850	3,403E-4	-0,055
37,900	4,001E-4	-0,054
37,950	2,500E-4	-0,056
38,000	3,330E-4	-0,055
38,050	3,428E-4	-0,056
38,100	5,027E-4	-0,055
38,150	1,438E-4	-0,056
38,200	2,231E-4	-0,055
38,250	3,760E-5	-0,057
38,300	9,375E-5	-0,056
38,350	2,646E-4	-0,057
38,400	1,292E-4	-0,057
38,450	8,887E-5	-0,058
38,500	2,598E-4	-0,057
38,550	-2,222E-5	-0,059
38,600	2,354E-4	-0,058
38,650	1,475E-4	-0,060
38,700	2,573E-4	-0,059
38,750	-8,325E-5	-0,061
38,800	5,835E-5	-0,061
38,850	-5,029E-5	-0,063
38,900	1,096E-4	-0,063
38,950	5,591E-5	-0,065
39,000	-1,978E-5	-0,065
39,050	-1,077E-4	-0,068
39,100	1,389E-4	-0,068
39,150	-7,349E-5	-0,070
39,200	1,243E-4	-0,071
39,250	2,427E-4	-0,073
39,300	1,279E-4	-0,074
39,350	5,591E-5	-0,076
39,400	1,035E-4	-0,077
39,450	1,318E-5	-0,080
39,500	2,012E-4	-0,081
39,550	-1,821E-4	-0,084
39,600	-5,640E-5	-0,085
39,650	-1,785E-4	-0,088
39,700	-2,542E-4	-0,089
39,750	1,807E-5	-0,092
39,800	8,521E-5	-0,093
39,850	3,882E-5	-0,096
39,900	-2,065E-4	-0,098
39,950	1,389E-4	-0,101
40,000	-1,833E-4	-0,103
40,050	-5,273E-5	-0,106
40,100	-3,809E-5	-0,107
40,150	-2,810E-4	-0,111
40,200	-2,285E-4	-0,112
40,250	1,804E-4	-0,116
40,300	7,178E-5	-0,118
40,350	-1,125E-4	-0,122
40,400	-2,920E-4	-0,124
40,450	-1,809E-4	-0,128
40,500	7,910E-5	-0,130
40,550	-1,321E-4	-0,134
40,600	-1,870E-4	-0,136
40,650	-1,736E-4	-0,140
40,700	-1,882E-4	-0,143
40,750	-1,858E-4	-0,147
40,800	-1,235E-4	-0,149
40,850	-4,617E-4	-0,153
40,900	-3,103E-4	-0,156
40,950	1,365E-4	-0,160
41,000	-1,931E-4	-0,163
41,050	3,149E-5	-0,167
41,100	-1,797E-4	-0,170
41,150	-3,237E-4	-0,175
41,200	-2,651E-4	-0,178
41,250	-2,700E-4	-0,183
41,300	-2,004E-4	-0,186
41,350	-2,261E-4	-0,191
41,400	-2,676E-4	-0,194
41,450	-3,091E-4	-0,199
41,500	-1,370E-4	-0,202
41,550	-2,004E-4	-0,207
41,600	-3,164E-4	-0,210
41,650	-2,578E-4	-0,215
41,700	-3,127E-4	-0,218
41,750	-1,553E-4	-0,223
41,800	-1,406E-4	-0,227
41,850	-2,090E-4	-0,232
41,900	-1,895E-4	-0,235
41,950	8,276E-5	-0,240
42,000	6,689E-5	-0,244
42,050	3,271E-5	-0,249
42,100	-1,528E-4	-0,252
42,150	-5,396E-5	-0,258
42,200	-8,447E-5	-0,261
42,250	-1,724E-4	-0,266
42,300	-2,322E-4	-0,270
42,350	-2,114E-4	-0,275
42,400	-2,456E-4	-0,279
42,450	-6,616E-5	-0,284
42,500	-3,616E-4	-0,288
42,550	-1,943E-4	-0,293
42,600	-3,518E-4	-0,297
42,650	-4,177E-4	-0,302
42,700	-3,762E-4	-0,306
42,750	-3,860E-4	-0,311
42,800	1,318E-5	-0,314
42,850	-1,064E-4	-0,320
42,900	-1,467E-4	-0,323
42,950	-2,627E-4	-0,329
43,000	-5,618E-4	-0,333
43,050	-2,065E-4	-0,338
43,100	-5,151E-5	-0,342
43,150	-3,274E-4	-0,348
43,200	-5,813E-4	-0,352
43,250	-4,312E-4	-0,357
43,300	-1,394E-4	-0,361
43,350	-4,666E-4	-0,367
43,400	-4,785E-5	-0,370
43,450	-7,837E-5	-0,376
43,500	-4,092E-4	-0,380
43,550	-8,936E-5	-0,385
43,600	-1,479E-4	-0,389
43,650	-3,164E-4	-0,395
43,700	-6,982E-5	-0,399
43,750	-5,151E-5	-0,405
43,800	-2,603E-4	-0,409
43,850	-4,128E-4	-0,415
43,900	-7,715E-5	-0,418
43,950	-2,700E-4	-0,424
44,000	-9,302E-5	-0,428
44,050	-6,982E-5	-0,434
44,100	-1,260E-4	-0,438
44,150	-8,447E-5	-0,444
44,200	-3,518E-4	-0,448
44,250	-4,495E-4	-0,454
44,300	-2,847E-4	-0,458
44,350	-2,932E-4	-0,464
44,400	-2,114E-4	-0,468
44,450	-3,286E-4	-0,474
44,500	-3,188E-4	-0,478
44,550	-2,102E-4	-0,484
44,600	-3,567E-4	-0,489
44,650	-1,846E-4	-0,494
44,700	-2,407E-4	-0,499
44,750	-2,505E-4	-0,504
44,800	-4,421E-4	-0,509
44,850	-4,238E-4	-0,515
44,900	-3,799E-4	-0,520
44,950	-4,470E-4	-0,526
45,000	-4,397E-4	-0,530
45,050	-3,872E-4	-0,536
45,100	-3,286E-4	-0,541
45,150	-1,748E-4	-0,547
45,200	-4,397E-4	-0,551
45,250	-5,007E-4	-0,557
45,300	-3,042E-4	-0,561
45,350	-1,187E-4	-0,567
45,400	-7,227E-5	-0,571
45,450	6,079E-5	-0,576
45,500	-2,688E-4	-0,581
45,550	-5,374E-4	-0,586
45,600	-3,262E-4	-0,590
45,650	-2,090E-4	-0,596
45,700	-7,471E-5	-0,600
45,750	-2,554E-4	-0,605
45,800	-3,164E-4	-0,609
45,850	9,521E-6	-0,613
45,900	-2,554E-4	-0,617
45,950	-3,799E-4	-0,622
46,000	-1,882E-4	-0,624
46,050	-3,420E-4	-0,629
46,100	-3,860E-4	-0,631
46,150	-3,799E-4	-0,635
46,200	-5,007E-4	-0,636
46,250	-6,338E-4	-0,639
46,300	-4,397E-4	-0,640
46,350	-5,605E-4	-0,643
46,400	-1,785E-4	-0,643
46,450	-6,204E-4	-0,645
46,500	-6,069E-4	-0,645
46,550	-4,409E-4	-0,646
46,600	-5,129E-4	-0,646
46,650	-6,094E-4	-0,648
46,700	-3,188E-4	-0,647
46,750	-7,095E-4	-0,649
46,800	-6,484E-4	-0,648
46,850	-5,068E-4	-0,649
46,900	-5,715E-4	-0,649
46,950	-5,178E-4	-0,650
47,000	-4,702E-4	-0,649
47,050	-5,654E-4	-0,650
47,100	-7,900E-4	-0,650
47,150	-4,714E-4	-0,650
47,200	-8,425E-4	-0,650
47,250	-6,716E-4	-0,651
47,300	-5,374E-4	-0,650
47,350	-5,947E-4	-0,651
47,400	-6,777E-4	-0,651
47,450	-5,410E-4	-0,651
47,500	-8,059E-4	-0,651
47,550	-8,926E-4	-0,652
47,600	-5,496E-4	-0,651
47,650	-5,813E-4	-0,652
47,700	-8,633E-4	-0,652
47,750	-8,743E-4	-0,653
47,800	-6,277E-4	-0,652
47,850	-7,742E-4	-0,653
47,900	-9,207E-4	-0,652
47,950	-7,510E-4	-0,653
48,000	-9,573E-4	-0,653
48,050	-0,001	-0,654
48,100	-6,155E-4	-0,653
48,150	-5,947E-4	-0,654
48,200	-6,277E-4	-0,654
48,250	-0,001	-0,655
48,300	-4,775E-4	-0,654
48,350	-6,521E-4	-0,655
48,400	-6,814E-4	-0,655
48,450	-7,644E-4	-0,656
48,500	-8,816E-4	-0,656
48,550	-5,190E-4	-0,657
48,600	-9,036E-4	-0,657
48,650	-7,803E-4	-0,658
48,700	-6,338E-4	-0,657
48,750	-5,435E-4	-0,658
48,800	-6,973E-4	-0,658
48,850	-8,120E-4	-0,659
48,900	-8,450E-4	-0,659
48,950	-7,632E-4	-0,660
