Zeit (s) RK1 Schalter links R_V	Spannung, Ch A (V) RK1 Schalter links R_V	Spannung, Ch B (V) RK1 Schalter links R_V
29,400	5,871	0,050
29,450	5,885	0,050
29,500	5,891	0,050
29,550	5,892	0,050
29,600	5,892	0,050
29,650	5,892	0,050
29,700	5,892	0,050
29,750	5,892	0,050
29,800	5,892	0,050
29,850	5,895	0,050
29,900	5,896	0,050
29,950	5,896	0,050
30,000	5,896	0,050
30,050	5,895	0,050
30,100	5,896	0,050
30,150	5,896	0,050
30,200	5,896	0,050
30,250	5,896	0,050
30,300	5,904	0,050
30,350	5,946	0,050
30,400	5,997	0,050
30,450	6,009	0,050
30,500	6,023	0,050
30,550	6,044	0,051
30,600	6,050	0,051
30,650	6,058	0,051
30,700	6,082	0,051
30,750	6,095	0,051
30,800	6,106	0,051
30,850	6,131	0,051
30,900	6,142	0,051
30,950	6,156	0,052
31,000	6,170	0,051
31,050	6,205	0,052
31,100	6,240	0,051
31,150	6,260	0,052
31,200	6,271	0,051
31,250	6,276	0,052
31,300	6,295	0,051
31,350	6,318	0,052
31,400	6,353	0,052
31,450	6,366	0,052
31,500	6,416	0,052
31,550	6,444	0,053
31,600	6,445	0,052
31,650	6,451	0,053
31,700	6,458	0,052
31,750	6,460	0,053
31,800	6,464	0,052
31,850	6,491	0,053
31,900	6,547	0,053
31,950	6,564	0,053
32,000	6,565	0,053
32,050	6,583	0,053
32,100	6,603	0,053
32,150	6,605	0,054
32,200	6,618	0,053
32,250	6,632	0,054
32,300	6,671	0,053
32,350	6,693	0,054
32,400	6,693	0,053
32,450	6,694	0,054
32,500	6,694	0,053
32,550	6,694	0,054
32,600	6,694	0,054
32,650	6,694	0,054
32,700	6,694	0,053
32,750	6,694	0,054
32,800	6,694	0,054
32,850	6,694	0,054
32,900	6,694	0,053
32,950	6,694	0,054
33,000	6,694	0,053
33,050	6,694	0,054
33,100	6,694	0,053
33,150	6,694	0,054
33,200	6,694	0,054
33,250	6,694	0,054
33,300	6,694	0,053
33,350	6,694	0,054
33,400	6,694	0,053
33,450	6,694	0,054
33,500	6,694	0,054
33,550	6,694	0,054
33,600	6,697	0,053
33,650	6,698	0,054
33,700	6,698	0,053
33,750	6,698	0,054
33,800	6,698	0,053
33,850	6,698	0,054
33,900	6,698	0,054
33,950	6,698	0,054
34,000	6,698	0,053
34,050	6,697	0,054
34,100	6,698	0,053
34,150	6,698	0,054
34,200	6,697	0,054
34,250	6,694	0,054
34,300	6,696	0,054
34,350	6,698	0,054
34,400	6,698	0,053
34,450	6,698	0,054
34,500	6,701	0,054
34,550	6,680	0,054
34,600	6,661	0,053
34,650	6,647	0,054
34,700	6,637	0,053
34,750	6,615	0,054
34,800	6,600	0,053
34,850	6,595	0,054
34,900	6,581	0,053
34,950	6,578	0,053
35,000	6,578	0,053
35,050	6,578	0,054
35,100	6,568	0,053
35,150	6,561	0,054
35,200	6,548	0,053
35,250	6,530	0,054
35,300	6,516	0,053
35,350	6,503	0,053
35,400	6,492	0,053
35,450	6,487	0,053
35,500	6,471	0,052
35,550	6,456	0,053
35,600	6,446	0,053
35,650	6,440	0,053
35,700	6,425	0,052
35,750	6,421	0,053
35,800	6,396	0,053
35,850	6,384	0,053
35,900	6,360	0,052
35,950	6,349	0,053
36,000	6,348	0,052
36,050	6,348	0,053
36,100	6,337	0,052
36,150	6,303	0,053
36,200	6,299	0,052
36,250	6,277	0,052
36,300	6,267	0,052
36,350	6,252	0,052
36,400	6,237	0,052
36,450	6,223	0,052
36,500	6,194	0,052
36,550	6,177	0,052
36,600	6,140	0,052
36,650	6,119	0,052
36,700	6,102	0,051
36,750	6,085	0,052
36,800	6,068	0,051
36,850	6,048	0,052
36,900	6,031	0,051
36,950	6,016	0,052
37,000	5,992	0,051
37,050	5,976	0,051
37,100	5,949	0,051
37,150	5,938	0,051
37,200	5,933	0,051
37,250	5,913	0,051
37,300	5,905	0,050
37,350	5,895	0,051
37,400	5,870	0,050
37,450	5,866	0,051
37,500	5,862	0,050
37,550	5,846	0,051
37,600	5,843	0,050
37,650	5,841	0,051
37,700	5,827	0,050
37,750	5,821	0,051
37,800	5,821	0,050
37,850	5,821	0,051
37,900	5,821	0,050
37,950	5,818	0,051
38,000	5,816	0,050
38,050	5,816	0,051
38,100	5,816	0,050
38,150	5,816	0,051
38,200	5,816	0,050
38,250	5,816	0,051
38,300	5,816	0,050
38,350	5,816	0,051
38,400	5,816	0,050
38,450	5,816	0,051
38,500	5,816	0,050
38,550	5,816	0,051
38,600	5,814	0,050
38,650	5,803	0,051
38,700	5,803	0,050
38,750	5,798	0,051
38,800	5,796	0,050
38,850	5,794	0,051
38,900	5,769	0,050
38,950	5,740	0,050
39,000	5,715	0,050
39,050	5,662	0,050
39,100	5,656	0,049
39,150	5,630	0,050
39,200	5,608	0,049
39,250	5,581	0,050
39,300	5,556	0,049
39,350	5,536	0,049
39,400	5,507	0,049
39,450	5,497	0,049
39,500	5,472	0,048
39,550	5,465	0,050
39,600	5,446	0,049
39,650	5,435	0,049
39,700	5,429	0,048
39,750	5,418	0,049
39,800	5,417	0,048
39,850	5,399	0,049
39,900	5,361	0,048
39,950	5,330	0,049
40,000	5,302	0,048
40,050	5,271	0,049
40,100	5,251	0,048
40,150	5,227	0,048
40,200	5,219	0,047
40,250	5,218	0,048
40,300	5,215	0,048
40,350	5,187	0,048
40,400	5,163	0,047
40,450	5,159	0,048
40,500	5,133	0,047
40,550	5,121	0,048
40,600	5,098	0,047
40,650	5,062	0,048
40,700	5,058	0,047
40,750	5,050	0,048
40,800	5,048	0,047
40,850	5,024	0,047
40,900	4,981	0,047
40,950	4,974	0,047
41,000	4,973	0,047
41,050	4,949	0,047
41,100	4,924	0,046
41,150	4,906	0,047
41,200	4,899	0,046
41,250	4,899	0,047
41,300	4,894	0,046
41,350	4,890	0,047
41,400	4,889	0,046
41,450	4,889	0,047
41,500	4,889	0,046
41,550	4,889	0,047
41,600	4,889	0,047
41,650	4,889	0,047
41,700	4,889	0,046
41,750	4,890	0,047
41,800	4,890	0,046
41,850	4,890	0,047
41,900	4,889	0,046
41,950	4,885	0,047
42,000	4,874	0,046
42,050	4,868	0,047
42,100	4,848	0,046
42,150	4,815	0,046
42,200	4,761	0,045
42,250	4,735	0,046
42,300	4,708	0,045
42,350	4,682	0,046
42,400	4,660	0,045
42,450	4,616	0,046
42,500	4,593	0,045
42,550	4,579	0,045
42,600	4,565	0,045
42,650	4,549	0,045
42,700	4,538	0,044
42,750	4,528	0,045
42,800	4,526	0,044
42,850	4,513	0,045
42,900	4,502	0,044
42,950	4,491	0,045
43,000	4,476	0,044
43,050	4,473	0,045
43,100	4,461	0,044
43,150	4,444	0,044
43,200	4,442	0,044
43,250	4,442	0,045
43,300	4,438	0,044
43,350	4,420	0,044
43,400	4,415	0,044
43,450	4,415	0,044
43,500	4,413	0,044
43,550	4,404	0,044
43,600	4,385	0,044
43,650	4,369	0,045
43,700	4,359	0,044
43,750	4,338	0,044
43,800	4,334	0,043
43,850	4,310	0,044
43,900	4,302	0,043
43,950	4,295	0,044
44,000	4,231	0,043
44,050	4,179	0,044
44,100	4,126	0,042
44,150	4,067	0,043
44,200	4,059	0,042
44,250	4,046	0,042
44,300	4,037	0,042
44,350	4,015	0,043
44,400	3,993	0,042
44,450	3,979	0,042
44,500	3,952	0,041
44,550	3,944	0,042
44,600	3,936	0,041
44,650	3,923	0,042
44,700	3,907	0,041
44,750	3,886	0,042
44,800	3,870	0,041
44,850	3,849	0,041
44,900	3,829	0,040
44,950	3,812	0,041
45,000	3,795	0,040
45,050	3,791	0,041
45,100	3,781	0,040
45,150	3,770	0,041
45,200	3,741	0,040
45,250	3,728	0,041
45,300	3,728	0,040
45,350	3,728	0,041
45,400	3,727	0,040
45,450	3,709	0,041
45,500	3,697	0,040
45,550	3,693	0,041
45,600	3,679	0,040
45,650	3,678	0,040
45,700	3,671	0,040
45,750	3,655	0,041
45,800	3,647	0,039
45,850	3,628	0,041
45,900	3,609	0,039
45,950	3,607	0,040
46,000	3,607	0,039
46,050	3,608	0,040
46,100	3,607	0,039
46,150	3,608	0,041
46,200	3,607	0,039
46,250	3,608	0,040
46,300	3,608	0,039
46,350	3,607	0,040
46,400	3,607	0,039
46,450	3,607	0,040
46,500	3,608	0,039
46,550	3,608	0,040
46,600	3,609	0,039
46,650	3,612	0,040
46,700	3,610	0,039
46,750	3,610	0,040
46,800	3,609	0,039
46,850	3,608	0,040
46,900	3,607	0,039
46,950	3,607	0,040
47,000	3,606	0,039
47,050	3,606	0,040
47,100	3,606	0,039
47,150	3,605	0,040
47,200	3,571	0,039
47,250	3,556	0,040
47,300	3,540	0,039
47,350	3,522	0,039
47,400	3,510	0,038
47,450	3,484	0,040
47,500	3,436	0,038
47,550	3,432	0,039
47,600	3,431	0,038
47,650	3,421	0,039
47,700	3,391	0,038
47,750	3,356	0,039
47,800	3,312	0,037
47,850	3,272	0,038
47,900	3,244	0,037
47,950	3,196	0,037
48,000	3,146	0,036
48,050	3,138	0,037
48,100	3,105	0,036
48,150	3,078	0,037
48,200	3,056	0,036
48,250	3,043	0,037
48,300	3,032	0,036
48,350	2,987	0,036
48,400	2,970	0,035
48,450	2,888	0,036
48,500	2,841	0,035
48,550	2,839	0,035
48,600	2,832	0,034
48,650	2,826	0,035
48,700	2,820	0,034
48,750	2,813	0,035
48,800	2,809	0,034
48,850	2,788	0,035
48,900	2,779	0,034
48,950	2,713	0,035
49,000	2,686	0,033
49,050	2,662	0,034
49,100	2,637	0,033
49,150	2,620	0,034
49,200	2,611	0,032
49,250	2,582	0,033
49,300	2,532	0,032
49,350	2,522	0,033
49,400	2,502	0,032
49,450	2,478	0,033
49,500	2,432	0,032
49,550	2,365	0,032
49,600	2,337	0,031
49,650	2,283	0,031
49,700	2,224	0,030
49,750	2,154	0,031
49,800	2,142	0,030
49,850	2,132	0,030
49,900	2,087	0,029
49,950	2,074	0,030
50,000	2,038	0,029
50,050	2,015	0,029
50,100	1,997	0,028
50,150	1,969	0,029
50,200	1,950	0,028
50,250	1,937	0,029
50,300	1,937	0,028
50,350	1,934	0,029
50,400	1,928	0,028
50,450	1,928	0,029
50,500	1,928	0,028
50,550	1,928	0,029
50,600	1,928	0,028
50,650	1,927	0,028
50,700	1,928	0,028
50,750	1,928	0,029
50,800	1,927	0,027
50,850	1,927	0,029
50,900	1,928	0,028
50,950	1,927	0,028
51,000	1,928	0,028
51,050	1,927	0,029
51,100	1,927	0,028
51,150	1,927	0,029
51,200	1,914	0,027
51,250	1,901	0,028
51,300	1,846	0,027
51,350	1,794	0,027
51,400	1,782	0,027
51,450	1,766	0,027
51,500	1,761	0,026
51,550	1,747	0,027
51,600	1,721	0,026
51,650	1,706	0,027
51,700	1,668	0,025
51,750	1,643	0,026
51,800	1,607	0,025
51,850	1,593	0,026
51,900	1,592	0,025
51,950	1,592	0,026
52,000	1,592	0,025
52,050	1,592	0,026
52,100	1,585	0,025
52,150	1,576	0,025
52,200	1,575	0,025
52,250	1,558	0,026
52,300	1,554	0,024
52,350	1,545	0,025
52,400	1,537	0,024
52,450	1,529	0,025
52,500	1,501	0,024
52,550	1,496	0,025
52,600	1,496	0,024
52,650	1,495	0,025
52,700	1,495	0,024
52,750	1,495	0,025
52,800	1,495	0,024
52,850	1,490	0,025
52,900	1,455	0,024
52,950	1,447	0,024
53,000	1,429	0,023
53,050	1,404	0,024
53,100	1,401	0,023
53,150	1,362	0,023
53,200	1,350	0,023
53,250	1,346	0,023
53,300	1,325	0,022
53,350	1,296	0,023
53,400	1,276	0,022
53,450	1,274	0,023
53,500	1,243	0,022
53,550	1,216	0,022
53,600	1,203	0,021
53,650	1,192	0,022
53,700	1,174	0,021
53,750	1,132	0,021
53,800	1,123	0,020
53,850	1,122	0,021
53,900	1,122	0,020
53,950	1,121	0,021
54,000	1,122	0,020
54,050	1,120	0,021
54,100	1,111	0,020
54,150	1,110	0,021
54,200	1,102	0,020
54,250	1,095	0,021
54,300	1,094	0,020
54,350	1,085	0,021
54,400	1,075	0,020
54,450	1,059	0,021
54,500	1,055	0,019
54,550	1,037	0,020
54,600	1,022	0,019
54,650	1,015	0,020
54,700	0,999	0,019
54,750	0,988	0,020
54,800	0,959	0,019
54,850	0,950	0,019
54,900	0,919	0,018
54,950	0,899	0,019
55,000	0,868	0,018
55,050	0,822	0,017
55,100	0,802	0,016
55,150	0,787	0,017
55,200	0,785	0,016
55,250	0,781	0,017
55,300	0,770	0,016
55,350	0,740	0,017
55,400	0,728	0,015
55,450	0,727	0,016
55,500	0,726	0,015
55,550	0,712	0,016
55,600	0,710	0,015
55,650	0,703	0,016
55,700	0,683	0,015
55,750	0,679	0,015
55,800	0,670	0,015
55,850	0,666	0,015
55,900	0,661	0,015
55,950	0,653	0,015
56,000	0,652	0,015
56,050	0,652	0,015
56,100	0,652	0,014
56,150	0,652	0,015
56,200	0,652	0,014
56,250	0,617	0,015
56,300	0,565	0,013
56,350	0,537	0,014
56,400	0,505	0,012
56,450	0,484	0,013
56,500	0,464	0,012
56,550	0,442	0,012
56,600	0,416	0,011
56,650	0,404	0,011
56,700	0,395	0,011
56,750	0,360	0,011
56,800	0,337	0,009
56,850	0,304	0,010
56,900	0,290	0,008
56,950	0,264	0,009
57,000	0,251	0,008
57,050	0,228	0,008
57,100	0,206	0,006
57,150	0,188	0,007
57,200	0,160	0,005
57,250	0,134	0,006
57,300	0,111	0,004
57,350	0,096	0,004
57,400	0,073	0,003
57,450	0,058	0,003
