Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
0,200	0,002	0,005	0,200	0,003	0,003	0,200	0,003	0,008	0,200	0,003	0,003	0,200	0,003	0,003	0,200	0,003	0,002	0,200	0,002	0,003	0,200	0,598	1,033	0,200	0,002	0,003	0,200	0,003	0,002	0,200	0,003	0,006	0,200	0,003	0,004	0,200	0,003	0,004
0,220	0,002	0,006	0,220	0,003	0,003	0,220	0,002	0,008	0,220	4,106	5,881	0,220	0,003	0,003	0,220	0,003	0,003	0,220	0,002	0,003	0,220	0,011	-0,087	0,220	0,003	0,003	0,220	0,003	0,003	0,220	0,003	0,006	0,220	0,003	0,004	0,220	0,003	0,004
0,240	0,002	0,006	0,240	0,003	0,003	0,240	0,002	0,007	0,240	3,519	4,692	0,240	0,003	0,002	0,240	0,003	0,003	0,240	0,002	0,003	0,240	0,017	-0,050	0,240	0,003	0,004	0,240	0,003	0,003	0,240	0,003	0,006	0,240	0,003	0,004	0,240	0,003	0,004
0,260	0,003	0,006	0,260	0,003	0,002	0,260	0,003	0,009	0,260	0,009	-0,109	0,260	0,003	0,003	0,260	0,002	0,002	0,260	0,003	0,003	0,260	0,023	-0,029	0,260	0,003	0,004	0,260	0,003	0,003	0,260	0,003	0,006	0,260	0,003	0,004	0,260	0,003	0,005
0,280	0,002	0,005	0,280	0,003	0,003	0,280	0,003	0,008	0,280	0,015	-0,076	0,280	5,816	8,104	0,280	0,003	0,003	0,280	0,003	0,003	0,280	0,030	-0,016	0,280	0,003	0,003	0,280	0,002	0,003	0,280	0,003	0,006	0,280	0,003	0,004	0,280	0,003	0,004
0,300	0,002	0,006	0,300	0,003	0,003	0,300	0,002	0,007	0,300	0,021	-0,047	0,300	0,462	3,330	0,300	4,989	7,500	0,300	0,003	0,003	0,300	0,036	-0,008	0,300	0,003	0,004	0,300	0,003	0,003	0,300	0,003	0,006	0,300	0,003	0,004	0,300	0,003	0,004
0,320	0,002	0,006	0,320	0,003	0,003	0,320	0,002	0,008	0,320	0,027	-0,031	0,320	0,012	-0,055	0,320	0,007	-0,113	0,320	0,003	0,003	0,320	0,042	-0,001	0,320	0,683	1,540	0,320	0,003	0,003	0,320	0,003	0,006	0,320	0,003	0,004	0,320	0,003	0,005
0,340	0,002	0,006	0,340	0,003	0,003	0,340	0,003	0,008	0,340	0,033	-0,020	0,340	0,017	-0,056	0,340	0,013	-0,064	0,340	4,301	7,059	0,340	0,048	0,003	0,340	2,145	3,063	0,340	0,002	0,003	0,340	0,003	0,007	0,340	0,003	0,004	0,340	2,972	4,509
0,360	0,002	0,005	0,360	0,003	0,003	0,360	0,002	0,008	0,360	0,039	-0,010	0,360	0,023	-0,030	0,360	0,019	-0,029	0,360	0,007	-0,037	0,360	0,053	0,006	0,360	0,010	-0,068	0,360	0,003	0,002	0,360	0,003	0,007	0,360	0,003	0,004	0,360	7,863	9,991
0,380	0,002	0,006	0,380	0,003	0,003	0,380	0,002	0,008	0,380	0,045	-0,007	0,380	0,029	-0,017	0,380	0,025	-0,018	0,380	0,013	-0,071	0,380	0,059	0,008	0,380	0,016	-0,031	0,380	0,003	0,003	0,380	0,003	0,006	0,380	0,003	0,004	0,380	2,299	4,056
0,400	0,002	0,005	0,400	0,003	0,003	0,400	0,002	0,007	0,400	0,051	-2,026E-4	0,400	0,036	-0,012	0,400	0,032	-0,009	0,400	0,019	-0,035	0,400	0,066	0,011	0,400	0,022	-0,013	0,400	0,003	0,003	0,400	0,003	0,006	0,400	0,003	0,004	0,400	0,010	-0,116
0,420	0,003	0,006	0,420	0,002	0,002	0,420	0,002	0,008	0,420	0,057	0,002	0,420	0,042	-0,003	0,420	0,038	-0,002	0,420	0,026	-0,017	0,420	0,072	0,012	0,420	0,028	-0,003	0,420	0,002	0,003	0,420	0,003	0,006	0,420	2,030	3,329	0,420	0,017	-0,090
0,440	0,002	0,006	0,440	0,003	0,003	0,440	0,003	0,008	0,440	0,064	0,004	0,440	0,048	0,002	0,440	0,044	0,002	0,440	0,031	-0,007	0,440	0,078	0,014	0,440	0,034	0,003	0,440	0,002	0,003	0,440	0,003	0,007	0,440	7,870	9,991	0,440	0,022	-0,062
0,460	0,002	0,006	0,460	0,003	0,002	0,460	0,003	0,008	0,460	0,069	0,008	0,460	0,054	0,005	0,460	0,050	0,006	0,460	0,038	-1,221E-6	0,460	0,084	0,014	0,460	0,041	0,007	0,460	0,002	0,003	0,460	0,003	0,007	0,460	2,310	4,439	0,460	0,029	-0,041
0,480	0,003	0,006	0,480	0,003	0,002	0,480	0,003	0,009	0,480	0,076	0,008	0,480	0,060	0,008	0,480	0,056	0,009	0,480	0,043	0,003	0,480	0,090	0,015	0,480	0,046	0,010	0,480	0,003	0,004	0,480	0,003	0,006	0,480	0,010	-0,115	0,480	0,034	-0,027
0,500	0,002	0,006	0,500	0,003	0,003	0,500	0,002	0,007	0,500	0,082	0,010	0,500	0,066	0,010	0,500	0,062	0,010	0,500	0,050	0,007	0,500	0,096	0,016	0,500	0,052	0,012	0,500	2,086	3,357	0,500	4,004	5,809	0,500	0,016	-0,087	0,500	0,041	-0,018
0,520	0,003	0,006	0,520	0,002	0,003	0,520	3,541	5,225	0,520	0,088	0,012	0,520	0,072	0,013	0,520	0,067	0,011	0,520	0,056	0,010	0,520	0,101	0,016	0,520	0,058	0,014	0,520	3,975	5,357	0,520	0,849	1,316	0,520	0,022	-0,050	0,520	0,046	-0,010
0,540	0,002	0,005	0,540	0,003	0,003	0,540	3,055	4,205	0,540	0,094	0,011	0,540	0,078	0,013	0,540	0,073	0,012	0,540	0,062	0,011	0,540	0,108	0,018	0,540	0,064	0,015	0,540	0,008	-0,117	0,540	0,011	-0,098	0,540	0,029	-0,034	0,540	0,052	-0,005
0,560	0,003	0,007	0,560	0,073	0,500	0,560	0,009	-0,111	0,560	0,100	0,014	0,560	0,084	0,014	0,560	0,080	0,013	0,560	0,068	0,013	0,560	0,114	0,018	0,560	0,070	0,016	0,560	0,014	-0,077	0,560	0,017	-0,051	0,560	0,035	-0,023	0,560	0,059	-1,550E-4
0,580	0,002	0,006	0,580	7,448	9,991	0,580	0,015	-0,072	0,580	0,105	0,014	0,580	0,090	0,016	0,580	0,086	0,015	0,580	0,074	0,014	0,580	0,120	0,019	0,580	0,077	0,017	0,580	0,021	-0,044	0,580	0,024	-0,025	0,580	0,040	-0,014	0,580	0,064	0,003
0,600	0,002	0,006	0,600	2,859	3,830	0,600	0,022	-0,039	0,600	0,112	0,015	0,600	0,096	0,016	0,600	0,092	0,016	0,600	0,080	0,015	0,600	0,126	0,019	0,600	0,083	0,018	0,600	0,027	-0,024	0,600	0,029	-0,012	0,600	0,047	-0,006	0,600	0,071	0,006
0,620	0,003	0,006	0,620	0,010	-0,118	0,620	0,027	-0,020	0,620	0,117	0,018	0,620	0,102	0,017	0,620	0,098	0,016	0,620	0,086	0,016	0,620	0,132	0,019	0,620	0,088	0,045	0,620	0,033	-0,013	0,620	0,036	-0,003	0,620	0,053	-0,001	0,620	0,077	0,009
0,640	0,003	0,007	0,640	0,016	-0,083	0,640	0,033	-0,010	0,640	0,124	0,016	0,640	0,108	0,019	0,640	0,104	0,017	0,640	0,092	0,016	0,640	0,138	0,020	0,640	0,095	0,028	0,640	0,039	-0,006	0,640	0,042	0,004	0,640	0,059	0,002	0,640	0,083	0,011
0,660	0,003	0,006	0,660	0,022	-0,055	0,660	0,039	-0,002	0,660	0,130	0,017	0,660	0,114	0,018	0,660	0,110	0,017	0,660	0,098	0,017	0,660	0,144	0,020	0,660	0,100	0,020	0,660	0,045	2,771E-4	0,660	0,048	0,008	0,660	0,065	0,006	0,660	0,088	0,012
0,680	0,002	0,006	0,680	0,028	-0,037	0,680	0,046	0,004	0,680	0,135	0,018	0,680	0,120	0,020	0,680	0,116	0,018	0,680	0,104	0,018	0,680	0,150	0,020	0,680	0,107	0,021	0,680	0,051	0,004	0,680	0,054	0,011	0,680	0,071	0,008	0,680	0,094	0,014
0,700	0,003	0,006	0,700	0,034	-0,024	0,700	0,052	0,008	0,700	0,142	0,017	0,700	0,126	0,019	0,700	0,122	0,029	0,700	0,109	0,039	0,700	0,156	0,021	0,700	0,112	0,021	0,700	0,057	0,007	0,700	0,060	0,013	0,700	0,077	0,011	0,700	0,101	0,015
0,720	0,003	0,006	0,720	0,040	-0,015	0,720	0,058	0,012	0,720	0,147	0,020	0,720	0,132	0,020	0,720	0,128	0,030	0,720	0,116	0,027	0,720	0,162	0,021	0,720	0,119	0,022	0,720	0,063	0,009	0,720	0,066	0,015	0,720	0,083	0,013	0,720	0,107	0,016
0,740	0,002	0,006	0,740	0,046	-0,008	0,740	0,064	0,014	0,740	0,153	0,019	0,740	0,138	0,021	0,740	0,134	0,021	0,740	0,122	0,021	0,740	0,168	0,022	0,740	0,124	0,022	0,740	0,069	0,011	0,740	0,072	0,017	0,740	0,089	0,013	0,740	0,113	0,017
0,760	0,002	0,006	0,760	0,052	-0,003	0,760	0,070	0,016	0,760	0,159	0,020	0,760	0,144	0,032	0,760	0,140	0,020	0,760	0,128	0,021	0,760	0,174	0,022	0,760	0,130	0,022	0,760	0,075	0,013	0,760	0,078	0,018	0,760	0,095	0,015	0,760	0,119	0,018
0,780	0,002	0,006	0,780	0,058	6,445E-4	0,780	0,076	0,018	0,780	0,165	0,021	0,780	0,150	0,029	0,780	0,145	0,020	0,780	0,134	0,021	0,780	0,180	0,023	0,780	0,137	0,023	0,780	0,081	0,014	0,780	0,084	0,019	0,780	0,101	0,016	0,780	0,125	0,019
0,800	0,003	0,006	0,800	0,064	0,003	0,800	0,081	0,019	0,800	0,172	0,020	0,800	0,156	0,023	0,800	0,151	0,021	0,800	0,140	0,021	0,800	0,185	0,023	0,800	0,143	0,023	0,800	0,087	0,015	0,800	0,090	0,020	0,800	0,107	0,017	0,800	0,130	0,019
0,820	0,002	0,006	0,820	0,070	0,006	0,820	0,087	0,020	0,820	0,178	0,022	0,820	0,161	0,022	0,820	0,158	0,021	0,820	0,146	0,022	0,820	0,191	0,023	0,820	0,149	0,023	0,820	0,093	0,016	0,820	0,096	0,020	0,820	0,113	0,018	0,820	0,137	0,019
0,840	0,002	0,006	0,840	0,076	0,008	0,840	0,094	0,021	0,840	0,183	0,022	0,840	0,168	0,023	0,840	0,164	0,021	0,840	0,152	0,022	0,840	0,198	0,024	0,840	0,154	0,023	0,840	0,099	0,016	0,840	0,102	0,021	0,840	0,118	0,013	0,840	0,142	0,020
0,860	0,003	0,006	0,860	0,082	0,009	0,860	0,100	0,022	0,860	0,189	0,021	0,860	0,174	0,023	0,860	0,169	0,022	0,860	0,158	0,022	0,860	0,203	0,023	0,860	0,160	0,023	0,860	0,105	0,017	0,860	0,108	0,022	0,860	0,124	0,007	0,860	0,149	0,021
0,880	0,002	0,006	0,880	0,089	0,011	0,880	0,106	0,023	0,880	0,196	0,024	0,880	0,180	0,023	0,880	0,176	0,022	0,880	0,164	0,023	0,880	0,210	0,024	0,880	0,167	0,024	0,880	0,111	0,018	0,880	0,114	0,022	0,880	0,131	0,019	0,880	0,154	0,021
0,900	0,003	0,006	0,900	0,094	0,012	0,900	0,112	0,023	0,900	0,201	0,021	0,900	0,186	0,024	0,900	0,181	0,022	0,900	0,170	0,023	0,900	0,215	0,024	0,900	0,172	0,024	0,900	0,117	0,018	0,900	0,120	0,023	0,900	0,136	0,019	0,900	0,161	0,023
0,920	0,002	0,006	0,920	0,100	0,014	0,920	0,118	0,024	0,920	0,207	0,022	0,920	0,192	0,023	0,920	0,187	0,022	0,920	0,175	0,023	0,920	0,221	0,024	0,920	0,178	0,024	0,920	0,123	0,019	0,920	0,126	0,023	0,920	0,143	0,021	0,920	0,167	0,022
0,940	0,002	0,006	0,940	0,106	0,014	0,940	0,123	0,024	0,940	0,213	0,023	0,940	0,198	0,024	0,940	0,193	0,023	0,940	0,182	0,023	0,940	0,228	0,025	0,940	0,184	0,024	0,940	0,129	0,019	0,940	0,132	0,024	0,940	0,149	0,021	0,940	0,172	0,023
0,960	0,002	0,006	0,960	0,112	0,015	0,960	0,130	0,025	0,960	0,219	0,022	0,960	0,203	0,024	0,960	0,199	0,023	0,960	0,188	0,024	0,960	0,234	0,025	0,960	0,190	0,024	0,960	0,135	0,020	0,960	0,138	0,024	0,960	0,155	0,022	0,960	0,179	0,023
0,980	0,003	0,006	0,980	0,118	0,016	0,980	0,136	0,026	0,980	0,225	0,024	0,980	0,209	0,024	0,980	0,205	0,023	0,980	0,193	0,024	0,980	0,239	0,025	0,980	0,196	0,024	0,980	0,141	0,020	0,980	0,143	0,024	0,980	0,160	0,022	0,980	0,185	0,024
1,000	0,002	0,006	1,000	0,124	0,017	1,000	0,142	0,027	1,000	0,231	0,024	1,000	0,216	0,026	1,000	0,212	0,024	1,000	0,200	0,024	1,000	0,245	0,025	1,000	0,202	0,013	1,000	0,147	0,021	1,000	0,150	0,025	1,000	0,166	0,022	1,000	0,191	0,024
1,020	0,003	0,007	1,020	0,130	0,017	1,020	0,148	0,027	1,020	0,237	0,023	1,020	0,222	0,025	1,020	0,218	0,024	1,020	0,206	0,025	1,020	0,251	0,026	1,020	0,208	0,024	1,020	0,153	0,021	1,020	0,155	0,025	1,020	0,173	0,024	1,020	0,197	0,024
1,040	0,002	0,006	1,040	0,136	0,018	1,040	0,153	0,027	1,040	0,243	0,025	1,040	0,227	0,025	1,040	0,223	0,024	1,040	0,211	0,025	1,040	0,257	0,026	1,040	0,214	0,025	1,040	0,159	0,021	1,040	0,162	0,026	1,040	0,178	0,023	1,040	0,202	0,025
1,060	0,003	0,007	1,060	0,142	0,019	1,060	0,160	0,028	1,060	0,249	0,024	1,060	0,233	0,026	1,060	0,229	0,024	1,060	0,218	0,018	1,060	0,263	0,026	1,060	0,220	0,025	1,060	0,165	0,022	1,060	0,168	0,026	1,060	0,184	0,024	1,060	0,209	0,026
1,080	0,003	0,007	1,080	0,149	0,019	1,080	0,165	0,027	1,080	0,255	0,025	1,080	0,240	0,025	1,080	0,235	0,011	1,080	0,224	0,013	1,080	0,269	0,026	1,080	0,226	0,025	1,080	0,171	0,022	1,080	0,174	0,026	1,080	0,190	0,024	1,080	0,214	0,025
1,100	0,002	0,006	1,100	0,154	0,019	1,100	0,171	0,028	1,100	0,261	0,025	1,100	0,245	0,026	1,100	0,241	0,023	1,100	0,229	0,024	1,100	0,275	0,027	1,100	0,232	0,026	1,100	0,177	0,023	1,100	0,180	0,027	1,100	0,197	0,025	1,100	0,220	0,026
1,120	0,002	0,006	1,120	0,160	0,020	1,120	0,178	0,029	1,120	0,266	0,023	1,120	0,252	0,026	1,120	0,247	0,025	1,120	0,235	0,025	1,120	0,281	0,027	1,120	0,238	0,026	1,120	0,183	0,024	1,120	0,185	0,027	1,120	0,203	0,025	1,120	0,226	0,026
1,140	0,003	0,007	1,140	0,166	0,021	1,140	0,183	0,028	1,140	0,273	0,025	1,140	0,257	0,026	1,140	0,253	0,025	1,140	0,241	0,026	1,140	0,287	0,027	1,140	0,244	0,026	1,140	0,188	0,023	1,140	0,192	0,027	1,140	0,209	0,026	1,140	0,232	0,026
1,160	0,003	0,006	1,160	0,172	0,021	1,160	0,189	0,029	1,160	0,279	0,024	1,160	0,263	0,027	1,160	0,259	0,025	1,160	0,247	0,026	1,160	0,293	0,027	1,160	0,250	0,027	1,160	0,195	0,024	1,160	0,198	0,027	1,160	0,214	0,025	1,160	0,238	0,027
1,180	0,003	0,007	1,180	0,178	0,021	1,180	0,196	0,029	1,180	0,284	0,024	1,180	0,269	0,026	1,180	0,265	0,026	1,180	0,253	0,026	1,180	0,299	0,028	1,180	0,256	0,027	1,180	0,201	0,024	1,180	0,203	0,027	1,180	0,221	0,026	1,180	0,244	0,026
1,200	0,002	0,006	1,200	0,184	0,021	1,200	0,201	0,030	1,200	0,291	0,026	1,200	0,275	0,027	1,200	0,271	0,026	1,200	0,259	0,026	1,200	0,305	0,028	1,200	0,261	0,027	1,200	0,207	0,025	1,200	0,210	0,028	1,200	0,226	0,026	1,200	0,250	0,027
1,220	0,002	0,006	1,220	0,190	0,021	1,220	0,207	0,030	1,220	0,296	0,024	1,220	0,281	0,028	1,220	0,277	0,026	1,220	0,265	0,027	1,220	0,311	0,028	1,220	0,268	0,028	1,220	0,213	0,025	1,220	0,215	0,028	1,220	0,232	0,026	1,220	0,256	0,027
1,240	0,002	0,006	1,240	0,196	0,022	1,240	0,213	0,030	1,240	0,302	0,025	1,240	0,287	0,027	1,240	0,283	0,026	1,240	0,271	0,027	1,240	0,317	0,028	1,240	0,274	0,027	1,240	0,219	0,025	1,240	0,221	0,028	1,240	0,238	0,027	1,240	0,262	0,027
1,260	0,002	0,006	1,260	0,201	0,021	1,260	0,219	0,031	1,260	0,308	0,026	1,260	0,293	0,028	1,260	0,289	0,026	1,260	0,277	0,028	1,260	0,322	0,028	1,260	0,280	0,028	1,260	0,225	0,025	1,260	0,227	0,028	1,260	0,244	0,027	1,260	0,268	0,028
1,280	0,003	0,006	1,280	0,209	0,023	1,280	0,225	0,031	1,280	0,314	0,025	1,280	0,299	0,028	1,280	0,295	0,027	1,280	0,283	0,028	1,280	0,328	0,029	1,280	0,286	0,028	1,280	0,230	0,026	1,280	0,233	0,029	1,280	0,250	0,028	1,280	0,274	0,027
1,300	1,975	3,217	1,300	0,214	0,023	1,300	0,231	0,031	1,300	0,320	0,027	1,300	0,305	0,028	1,300	0,301	0,027	1,300	0,289	0,028	1,300	0,334	0,029	1,300	0,292	0,028	1,300	0,236	0,025	1,300	0,239	0,029	1,300	0,256	0,027	1,300	0,280	0,028
1,320	3,794	5,129	1,320	0,220	0,023	1,320	0,237	0,031	1,320	0,325	0,026	1,320	0,311	0,029	1,320	0,306	0,027	1,320	0,295	0,028	1,320	0,340	0,029	1,320	0,297	0,028	1,320	0,242	0,026	1,320	0,245	0,030	1,320	0,262	0,028	1,320	0,286	0,029
1,340	0,008	-0,111	1,340	0,226	0,024	1,340	0,243	0,031	1,340	0,332	0,026	1,340	0,316	0,028	1,340	0,312	0,028	1,340	0,301	0,028	1,340	0,346	0,029	1,340	0,303	0,028	1,340	0,249	0,027	1,340	0,251	0,029	1,340	0,268	0,028	1,340	0,292	0,029
1,360	0,014	-0,073	1,360	0,232	0,023	1,360	0,249	0,032	1,360	0,337	0,027	1,360	0,322	0,029	1,360	0,318	0,027	1,360	0,307	0,029	1,360	0,351	0,029	1,360	0,309	0,029	1,360	0,255	0,027	1,360	0,257	0,029	1,360	0,274	0,029	1,360	0,298	0,029
1,380	0,021	-0,040	1,380	0,238	0,023	1,380	0,255	0,032	1,380	0,343	0,026	1,380	0,328	0,029	1,380	0,324	0,028	1,380	0,313	0,029	1,380	0,358	0,030	1,380	0,315	0,029	1,380	0,260	0,027	1,380	0,263	0,030	1,380	0,280	0,029	1,380	0,304	0,029
1,400	0,027	-0,020	1,400	0,244	0,024	1,400	0,261	0,032	1,400	0,350	0,028	1,400	0,334	0,029	1,400	0,330	0,028	1,400	0,319	0,029	1,400	0,364	0,030	1,400	0,320	0,029	1,400	0,266	0,027	1,400	0,269	0,029	1,400	0,286	0,029	1,400	0,309	0,029
1,420	0,032	-0,010	1,420	0,250	0,024	1,420	0,267	0,032	1,420	0,355	0,027	1,420	0,340	0,030	1,420	0,336	0,028	1,420	0,324	0,029	1,420	0,370	0,030	1,420	0,327	0,029	1,420	0,273	0,027	1,420	0,275	0,030	1,420	0,292	0,029	1,420	0,315	0,030
1,440	0,038	-0,002	1,440	0,255	0,024	1,440	0,273	0,033	1,440	0,361	0,027	1,440	0,346	0,029	1,440	0,342	0,029	1,440	0,330	0,029	1,440	0,375	0,030	1,440	0,332	0,029	1,440	0,278	0,028	1,440	0,281	0,031	1,440	0,298	0,030	1,440	0,321	0,030
1,460	0,045	0,004	1,460	0,262	0,025	1,460	0,279	0,033	1,460	0,367	0,029	1,460	0,352	0,029	1,460	0,348	0,028	1,460	0,336	0,029	1,460	0,381	0,030	1,460	0,338	0,030	1,460	0,284	0,028	1,460	0,287	0,030	1,460	0,303	0,030	1,460	0,327	0,030
1,480	0,051	0,008	1,480	0,267	0,025	1,480	0,284	0,033	1,480	0,373	0,028	1,480	0,357	0,030	1,480	0,353	0,029	1,480	0,342	0,030	1,480	0,387	0,031	1,480	0,345	0,030	1,480	0,290	0,028	1,480	0,293	0,031	1,480	0,309	0,030	1,480	0,333	0,031
1,500	0,057	0,010	1,500	0,274	0,025	1,500	0,290	0,033	1,500	0,379	0,028	1,500	0,364	0,030	1,500	0,360	0,029	1,500	0,348	0,030	1,500	0,393	0,031	1,500	0,350	0,030	1,500	0,296	0,029	1,500	0,298	0,031	1,500	0,315	0,031	1,500	0,339	0,030
1,520	0,063	0,013	1,520	0,280	0,026	1,520	0,297	0,034	1,520	0,385	0,029	1,520	0,369	0,030	1,520	0,366	0,029	1,520	0,353	0,030	1,520	0,398	0,030	1,520	0,356	0,030	1,520	0,302	0,028	1,520	0,304	0,031	1,520	0,321	0,031	1,520	0,345	0,032
1,540	0,069	0,015	1,540	0,285	0,026	1,540	0,303	0,034	1,540	0,391	0,028	1,540	0,376	0,031	1,540	0,371	0,029	1,540	0,360	0,030	1,540	0,405	0,031	1,540	0,362	0,031	1,540	0,308	0,029	1,540	0,310	0,032	1,540	0,327	0,031	1,540	0,351	0,031
1,560	0,075	0,016	1,560	0,291	0,026	1,560	0,308	0,034	1,560	0,397	0,029	1,560	0,382	0,030	1,560	0,377	0,029	1,560	0,366	0,031	1,560	0,411	0,031	1,560	0,368	0,031	1,560	0,313	0,029	1,560	0,316	0,032	1,560	0,332	0,031	1,560	0,357	0,032
