Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15
0,520	0,008	0,026	0,520	0,008	0,031	0,520	0,007	0,031	0,520	0,008	0,033	0,520	0,008	0,033	0,520	0,008	0,030	0,520	0,008	0,031	0,520	0,073	0,194	0,520	0,007	0,028	0,520	0,011	0,042	0,520	0,030	0,046	0,520	0,008	0,029	0,520	0,008	0,029	0,520	0,007	0,035	0,520	0,007	0,034
0,540	0,008	0,028	0,540	0,008	0,031	0,540	0,008	0,032	0,540	0,008	0,033	0,540	0,008	0,032	0,540	0,008	0,030	0,540	0,008	0,031	0,540	0,022	-0,016	0,540	0,008	0,028	0,540	0,939	3,253	0,540	0,036	-0,004	0,540	0,008	0,029	0,540	0,008	0,030	0,540	0,007	0,035	0,540	0,008	0,035
0,560	0,008	0,026	0,560	0,008	0,031	0,560	0,008	0,033	0,560	0,008	0,033	0,560	0,007	0,032	0,560	0,007	0,029	0,560	0,008	0,031	0,560	0,023	0,016	0,560	0,011	0,029	0,560	0,013	-0,032	0,560	0,041	0,047	0,560	0,008	0,029	0,560	0,008	0,030	0,560	0,007	0,035	0,560	0,008	0,035
0,580	0,007	0,025	0,580	0,007	0,030	0,580	0,007	0,032	0,580	0,007	0,032	0,580	0,008	0,033	0,580	0,008	0,030	0,580	0,008	0,031	0,580	0,028	0,030	0,580	0,009	0,034	0,580	0,018	-0,036	0,580	0,047	-0,001	0,580	0,008	0,029	0,580	0,007	0,029	0,580	0,008	0,035	0,580	0,008	0,035
0,600	0,008	0,026	0,600	0,008	0,031	0,600	0,008	0,031	0,600	0,008	0,028	0,600	0,008	0,033	0,600	0,008	0,031	0,600	0,007	0,031	0,600	0,034	0,057	0,600	0,593	2,046	0,600	0,024	0,046	0,600	0,053	0,036	0,600	0,008	0,029	0,600	0,008	0,030	0,600	0,008	0,036	0,600	0,008	0,035
0,620	0,008	0,025	0,620	0,008	0,029	0,620	0,020	0,089	0,620	0,008	0,033	0,620	0,007	0,032	0,620	0,007	0,030	0,620	0,008	0,032	0,620	0,039	0,037	0,620	0,526	1,683	0,620	0,030	6,543E-4	0,620	0,058	0,040	0,620	0,008	0,029	0,620	0,008	0,030	0,620	0,008	0,035	0,620	0,008	0,035
0,640	0,008	0,026	0,640	0,008	0,026	0,640	0,008	0,029	0,640	0,008	0,033	0,640	0,007	0,032	0,640	0,008	0,030	0,640	0,008	0,031	0,640	0,045	0,039	0,640	0,014	-0,033	0,640	0,038	0,053	0,640	0,063	0,047	0,640	0,008	0,029	0,640	0,008	0,030	0,640	0,008	0,035	0,640	0,008	0,035
0,660	0,008	0,026	0,660	0,008	0,026	0,660	0,008	0,031	0,660	0,008	0,033	0,660	0,008	0,033	0,660	0,008	0,031	0,660	0,008	0,031	0,660	0,051	0,037	0,660	0,020	0,012	0,660	0,041	0,007	0,660	0,069	0,045	0,660	0,008	0,028	0,660	0,008	0,030	0,660	0,007	0,034	0,660	0,008	0,035
0,680	0,013	0,038	0,680	0,008	0,026	0,680	0,008	0,030	0,680	0,008	0,032	0,680	0,008	0,032	0,680	0,008	0,031	0,680	0,008	0,031	0,680	0,056	0,036	0,680	0,025	0,023	0,680	0,046	0,035	0,680	0,075	0,045	0,680	1,214	4,381	0,680	0,008	0,030	0,680	0,008	0,035	0,680	0,008	0,035
0,700	0,008	0,009	0,700	0,008	0,026	0,700	0,008	0,032	0,700	0,008	0,032	0,700	0,007	0,032	0,700	0,007	0,030	0,700	0,008	0,032	0,700	0,062	0,042	0,700	0,035	0,047	0,700	0,051	0,036	0,700	0,080	0,047	0,700	0,072	0,169	0,700	0,008	0,029	0,700	0,008	0,035	0,700	0,008	0,035
0,720	0,008	0,025	0,720	0,008	0,027	0,720	0,337	1,436	0,720	0,008	0,034	0,720	0,008	0,033	0,720	0,008	0,031	0,720	0,008	0,032	0,720	0,067	0,039	0,720	0,038	-0,005	0,720	0,057	0,038	0,720	0,085	0,047	0,720	0,017	0,033	0,720	0,008	0,036	0,720	0,007	0,035	0,720	0,008	0,034
0,740	0,008	0,026	0,740	0,008	0,026	0,740	0,922	3,014	0,740	0,008	0,033	0,740	0,008	0,033	0,740	0,007	0,029	0,740	0,008	0,030	0,740	0,073	0,039	0,740	0,042	0,015	0,740	0,063	0,039	0,740	0,091	0,046	0,740	0,022	-0,004	0,740	0,008	0,034	0,740	0,008	0,035	0,740	0,008	0,035
0,760	0,008	0,030	0,760	0,959	3,455	0,760	0,062	0,063	0,760	0,008	0,033	0,760	0,007	0,032	0,760	0,007	0,029	0,760	0,031	0,122	0,760	0,078	0,039	0,760	0,047	0,019	0,760	0,068	0,040	0,760	0,096	0,047	0,760	0,027	0,039	0,760	0,008	0,035	0,760	0,008	0,036	0,760	0,008	0,035
0,780	0,011	0,046	0,780	0,129	0,288	0,780	0,075	0,064	0,780	0,008	0,032	0,780	0,008	0,032	0,780	0,018	0,050	0,780	0,009	0,030	0,780	0,083	0,042	0,780	0,053	0,017	0,780	0,073	0,039	0,780	0,102	0,049	0,780	0,033	-0,004	0,780	0,008	0,034	0,780	1,102	4,212	0,780	0,008	0,035
0,800	1,538	5,370	0,800	0,060	0,077	0,800	0,052	0,065	0,800	0,008	0,033	0,800	0,008	0,033	0,800	0,008	0,027	0,800	0,007	0,030	0,800	0,089	0,043	0,800	0,058	0,016	0,800	0,079	0,040	0,800	0,107	0,050	0,800	0,038	0,047	0,800	0,008	0,034	0,800	0,054	0,048	0,800	0,007	0,034
0,820	0,089	0,062	0,820	0,037	0,179	0,820	0,031	0,025	0,820	0,008	0,033	0,820	0,007	0,032	0,820	0,008	0,029	0,820	0,008	0,029	0,820	0,094	0,041	0,820	0,064	0,021	0,820	0,088	0,047	0,820	0,113	0,048	0,820	0,047	0,055	0,820	0,008	0,034	0,820	0,026	0,009	0,820	0,007	0,034
0,840	0,019	-0,068	0,840	0,028	-0,049	0,840	0,037	0,031	0,840	0,008	0,033	0,840	0,007	0,032	0,840	0,987	3,427	0,840	0,008	0,031	0,840	0,099	0,041	0,840	0,069	0,019	0,840	0,094	0,041	0,840	0,118	0,049	0,840	0,052	0,002	0,840	0,007	0,035	0,840	0,026	0,031	0,840	0,008	0,035
0,860	0,022	0,013	0,860	0,033	-0,026	0,860	0,042	0,032	0,860	0,008	0,033	0,860	0,008	0,032	0,860	0,725	2,386	0,860	0,907	3,207	0,860	0,105	0,044	0,860	0,074	0,034	0,860	0,096	0,035	0,860	0,123	0,056	0,860	0,054	0,031	0,860	1,057	3,870	0,860	0,029	0,012	0,860	0,008	0,035
0,880	0,027	0,026	0,880	0,039	0,028	0,880	0,047	0,035	0,880	0,008	0,032	0,880	0,008	0,032	0,880	0,078	0,141	0,880	0,326	0,975	0,880	0,110	0,044	0,880	0,080	0,025	0,880	0,101	0,042	0,880	0,129	0,064	0,880	0,060	0,043	0,880	0,012	-0,043	0,880	0,034	0,036	0,880	0,008	0,034
0,900	0,039	0,076	0,900	0,046	0,039	0,900	0,053	0,038	0,900	0,008	0,032	0,900	0,008	0,032	0,900	0,023	0,002	0,900	0,019	-0,029	0,900	0,116	0,043	0,900	0,086	0,025	0,900	0,106	0,040	0,900	0,134	0,050	0,900	0,066	0,047	0,900	0,018	0,024	0,900	0,039	0,038	0,900	0,008	0,034
0,920	0,040	0,035	0,920	0,051	0,034	0,920	0,059	0,038	0,920	0,008	0,034	0,920	0,007	0,032	0,920	0,028	0,022	0,920	0,021	0,037	0,920	0,121	0,038	0,920	0,091	0,040	0,920	0,111	0,042	0,920	0,140	0,050	0,920	0,071	0,039	0,920	0,024	0,040	0,920	0,045	0,039	0,920	0,008	0,034
0,940	0,044	0,034	0,940	0,055	0,034	0,940	0,064	0,037	0,940	0,009	0,030	0,940	0,008	0,033	0,940	0,034	0,032	0,940	0,027	0,071	0,940	0,126	0,036	0,940	0,096	0,030	0,940	0,117	0,043	0,940	0,145	0,051	0,940	0,077	0,069	0,940	0,030	0,044	0,940	0,050	0,041	0,940	0,008	0,034
0,960	0,049	0,039	0,960	0,061	0,036	0,960	0,069	0,039	0,960	0,008	0,032	0,960	0,008	0,032	0,960	0,039	0,027	0,960	0,032	0,033	0,960	0,132	0,044	0,960	0,102	0,035	0,960	0,122	0,043	0,960	0,150	0,051	0,960	0,082	0,053	0,960	0,036	0,050	0,960	0,056	0,044	0,960	0,007	0,034
0,980	0,055	0,040	0,980	0,068	0,040	0,980	0,075	0,041	0,980	0,626	2,230	0,980	0,008	0,032	0,980	0,042	0,029	0,980	0,038	0,035	0,980	0,138	0,044	0,980	0,107	0,033	0,980	0,128	0,044	0,980	0,155	0,050	0,980	0,087	0,049	0,980	0,042	0,041	0,980	0,061	0,043	0,980	0,008	0,034
1,000	0,060	0,040	1,000	0,072	0,034	1,000	0,082	0,041	1,000	0,609	1,922	1,000	1,139	4,200	1,000	0,048	0,033	1,000	0,043	0,035	1,000	0,143	0,044	1,000	0,112	0,009	1,000	0,133	0,043	1,000	0,161	0,051	1,000	0,093	0,046	1,000	0,046	0,043	1,000	0,067	0,044	1,000	0,008	0,034
1,020	0,066	0,041	1,020	0,077	0,036	1,020	0,086	0,037	1,020	0,041	-0,003	1,020	0,067	0,064	1,020	0,054	0,035	1,020	0,049	0,037	1,020	0,148	0,046	1,020	0,118	0,020	1,020	0,139	0,044	1,020	0,167	0,052	1,020	0,099	0,046	1,020	0,051	0,044	1,020	0,073	0,046	1,020	0,008	0,035
1,040	0,071	0,042	1,040	0,082	0,038	1,040	0,091	0,040	1,040	0,020	0,019	1,040	0,048	-0,005	1,040	0,059	0,035	1,040	0,054	0,035	1,040	0,154	0,046	1,040	0,124	0,035	1,040	0,144	0,044	1,040	0,172	0,053	1,040	0,104	0,048	1,040	0,056	0,045	1,040	0,078	0,047	1,040	0,008	0,031
1,060	0,076	0,042	1,060	0,088	0,039	1,060	0,097	0,042	1,060	0,026	0,031	1,060	0,034	0,022	1,060	0,064	0,036	1,060	0,063	0,049	1,060	0,159	0,045	1,060	0,129	0,032	1,060	0,150	0,045	1,060	0,177	0,052	1,060	0,109	0,049	1,060	0,062	0,047	1,060	0,083	0,047	1,060	0,008	0,030
1,080	0,082	0,043	1,080	0,093	0,039	1,080	0,102	0,042	1,080	0,031	0,067	1,080	0,041	0,004	1,080	0,069	0,037	1,080	0,067	0,040	1,080	0,165	0,045	1,080	0,134	0,032	1,080	0,155	0,045	1,080	0,183	0,053	1,080	0,115	0,049	1,080	0,068	0,047	1,080	0,088	0,048	1,080	0,008	0,029
1,100	0,087	0,043	1,100	0,099	0,039	1,100	0,107	0,027	1,100	0,045	0,076	1,100	0,035	0,033	1,100	0,075	0,036	1,100	0,070	0,035	1,100	0,170	0,046	1,100	0,140	0,037	1,100	0,160	0,050	1,100	0,188	0,053	1,100	0,120	0,048	1,100	0,073	0,047	1,100	0,094	0,054	1,100	0,008	0,030
1,120	0,093	0,044	1,120	0,104	0,040	1,120	0,113	0,041	1,120	0,053	0,040	1,120	0,041	0,031	1,120	0,080	0,037	1,120	0,076	0,040	1,120	0,175	0,046	1,120	0,145	0,026	1,120	0,166	0,046	1,120	0,193	0,053	1,120	0,126	0,050	1,120	0,078	0,047	1,120	0,099	0,052	1,120	0,010	0,039
1,140	0,098	0,044	1,140	0,110	0,044	1,140	0,118	0,044	1,140	0,048	0,033	1,140	0,046	0,037	1,140	0,086	0,040	1,140	0,081	0,039	1,140	0,181	0,045	1,140	0,151	0,059	1,140	0,171	0,045	1,140	0,199	0,054	1,140	0,131	0,051	1,140	0,084	0,051	1,140	0,105	0,051	1,140	1,425	4,752
1,160	0,104	0,044	1,160	0,115	0,045	1,160	0,124	0,043	1,160	0,053	0,039	1,160	0,060	0,046	1,160	0,092	0,039	1,160	0,086	0,041	1,160	0,186	0,046	1,160	0,156	0,033	1,160	0,176	0,051	1,160	0,204	0,054	1,160	0,136	0,049	1,160	0,089	0,051	1,160	0,110	0,051	1,160	0,028	0,021
1,180	0,109	0,045	1,180	0,120	0,044	1,180	0,129	0,042	1,180	0,059	0,038	1,180	0,057	0,034	1,180	0,097	0,039	1,180	0,092	0,043	1,180	0,191	0,047	1,180	0,161	0,037	1,180	0,182	0,050	1,180	0,210	0,055	1,180	0,142	0,049	1,180	0,095	0,050	1,180	0,116	0,054	1,180	0,022	0,011
1,200	0,115	0,045	1,200	0,126	0,046	1,200	0,135	0,044	1,200	0,065	0,041	1,200	0,063	0,040	1,200	0,102	0,035	1,200	0,097	0,041	1,200	0,197	0,046	1,200	0,166	0,050	1,200	0,187	0,050	1,200	0,215	0,055	1,200	0,147	0,036	1,200	0,100	0,050	1,200	0,121	0,055	1,200	0,029	0,033
1,220	0,120	0,045	1,220	0,131	0,046	1,220	0,140	0,045	1,220	0,070	0,042	1,220	0,068	0,040	1,220	0,107	0,040	1,220	0,102	0,041	1,220	0,202	0,046	1,220	0,172	0,046	1,220	0,193	0,051	1,220	0,221	0,055	1,220	0,152	0,045	1,220	0,106	0,050	1,220	0,127	0,055	1,220	0,031	0,050
1,240	0,125	0,013	1,240	0,136	0,046	1,240	0,146	0,044	1,240	0,076	0,041	1,240	0,074	0,039	1,240	0,113	0,040	1,240	0,109	0,043	1,240	0,208	0,048	1,240	0,177	0,010	1,240	0,198	0,050	1,240	0,226	0,057	1,240	0,158	0,065	1,240	0,111	0,051	1,240	0,132	0,056	1,240	0,057	0,074
1,260	0,131	0,042	1,260	0,142	0,046	1,260	0,151	0,044	1,260	0,081	0,040	1,260	0,079	0,040	1,260	0,118	0,040	1,260	0,114	0,038	1,260	0,213	0,043	1,260	0,183	0,062	1,260	0,203	0,051	1,260	0,232	0,058	1,260	0,163	0,053	1,260	0,116	0,050	1,260	0,137	0,058	1,260	0,070	0,084
1,280	0,136	0,045	1,280	0,148	0,047	1,280	0,156	0,044	1,280	0,086	0,042	1,280	0,084	0,041	1,280	0,124	0,041	1,280	0,119	0,032	1,280	0,218	0,043	1,280	0,188	0,024	1,280	0,209	0,052	1,280	0,237	0,058	1,280	0,169	0,053	1,280	0,122	0,052	1,280	0,143	0,060	1,280	0,047	0,010
1,300	0,142	0,045	1,300	0,153	0,048	1,300	0,162	0,046	1,300	0,092	0,044	1,300	0,090	0,042	1,300	0,129	0,043	1,300	0,124	0,042	1,300	0,224	0,041	1,300	0,194	0,060	1,300	0,214	0,052	1,300	0,242	0,059	1,300	0,174	0,053	1,300	0,127	0,053	1,300	0,148	0,061	1,300	0,052	0,036
1,320	0,147	0,046	1,320	0,158	0,047	1,320	0,167	0,045	1,320	0,097	0,044	1,320	0,095	0,040	1,320	0,134	0,042	1,320	0,130	0,043	1,320	0,230	0,043	1,320	0,200	0,026	1,320	0,220	0,052	1,320	0,248	0,060	1,320	0,179	0,052	1,320	0,133	0,053	1,320	0,153	0,062	1,320	0,058	0,041
1,340	0,153	0,047	1,340	0,164	0,047	1,340	0,172	0,044	1,340	0,103	0,043	1,340	0,101	0,042	1,340	0,140	0,041	1,340	0,135	0,042	1,340	0,235	0,045	1,340	0,205	0,054	1,340	0,225	0,052	1,340	0,253	0,056	1,340	0,185	0,053	1,340	0,138	0,047	1,340	0,159	0,064	1,340	0,063	0,041
