Zeit (s) Messreihe #1;Spannung, Ch A (V) Messreihe #1;Spannung, Ch B (V) Messreihe #1;Zeit (s) Ringkern 1 Schalter Links;Spannung, Ch A (V) Ringkern 1 Schalter Links;Spannung, Ch B (V) Ringkern 1 Schalter Links;Zeit (s) RK1 Schalter links R_V;Spannung, Ch A (V) RK1 Schalter links R_V;Spannung, Ch B (V) RK1 Schalter links R_V;Zeit (s) Messreihe #4;Spannung, Ch A (V) Messreihe #4;Spannung, Ch B (V) Messreihe #4;Zeit (s) Messreihe #5;Spannung, Ch A (V) Messreihe #5;Spannung, Ch B (V) Messreihe #5;Zeit (s) Messreihe #6;Spannung, Ch A (V) Messreihe #6;Spannung, Ch B (V) Messreihe #6;Zeit (s) Messreihe #7;Spannung, Ch A (V) Messreihe #7;Spannung, Ch B (V) Messreihe #7;Zeit (s) Messreihe #8;Spannung, Ch A (V) Messreihe #8;Spannung, Ch B (V) Messreihe #8;Zeit (s) Messreihe #9;Spannung, Ch A (V) Messreihe #9;Spannung, Ch B (V) Messreihe #9;Zeit (s) Messreihe #10;Spannung, Ch A (V) Messreihe #10;Spannung, Ch B (V) Messreihe #10;Zeit (s) Messreihe #11;Spannung, Ch A (V) Messreihe #11;Spannung, Ch B (V) Messreihe #11;Zeit (s) Messreihe #12;Spannung, Ch A (V) Messreihe #12;Spannung, Ch B (V) Messreihe #12;Zeit (s) Messreihe #13;Spannung, Ch A (V) Messreihe #13;Spannung, Ch B (V) Messreihe #13;Zeit (s) Messreihe #14;Spannung, Ch A (V) Messreihe #14;Spannung, Ch B (V) Messreihe #14;Zeit (s) Messreihe #15;Spannung, Ch A (V) Messreihe #15;Spannung, Ch B (V) Messreihe #15;Zeit (s) Messreihe #16;Spannung, Ch A (V) Messreihe #16;Spannung, Ch B (V) Messreihe #16
1,450;-8,813E-5;0,004;1,450;0,002;-0,044;1,450;0,372;0,004;1,450;0,420;0,001;1,450;0,435;0,007;1,450;0,444;0,133;1,450;0,453;0,136;1,450;-6,742;-0,682;1,450;6,543;0,921;1,450;6,896;0,003;1,450;6,620;0,006;1,450;6,548;-0,002;1,450;6,598;0,002;1,450;0,997;0,284;1,450;0,999;-9,052E-4;1,450;0,998;1,532E-4
1,500;-9,668E-5;0,004;1,500;0,002;-0,045;1,500;0,388;0,005;1,500;0,419;0,002;1,500;0,434;0,007;1,500;0,444;0,133;1,500;0,453;0,137;1,500;-6,742;-0,683;1,500;6,541;0,922;1,500;6,895;0,002;1,500;6,620;0,006;1,500;6,548;-0,001;1,500;6,586;0,001;1,500;0,996;0,283;1,500;0,991;-3,113E-5;1,500;0,999;0,001
1,550;-1,187E-4;0,003;1,550;0,002;-0,044;1,550;0,419;0,005;1,550;0,417;0,001;1,550;0,434;0,007;1,550;0,444;0,134;1,550;0,453;0,136;1,550;-6,736;-0,683;1,550;6,530;0,921;1,550;6,892;0,003;1,550;6,620;0,006;1,550;6,531;-0,002;1,550;6,580;0,002;1,550;0,996;0,284;1,550;0,982;-0,002;1,550;0,998;2,411E-4
1,600;-2,688E-4;0,003;1,600;0,002;-0,045;1,600;0,448;0,006;1,600;0,415;0,002;1,600;0,434;0,007;1,600;0,444;0,133;1,600;0,452;0,137;1,600;-6,728;-0,683;1,600;6,528;0,922;1,600;6,885;0,002;1,600;6,620;0,006;1,600;6,524;-0,001;1,600;6,571;0,001;1,600;0,996;0,283;1,600;0,973;-7,892E-4;1,600;0,998;0,001
1,650;-1,858E-4;0,003;1,650;0,002;-0,044;1,650;0,457;0,005;1,650;0,414;9,735E-4;1,650;0,434;0,007;1,650;0,444;0,134;1,650;0,452;0,136;1,650;-6,716;-0,683;1,650;6,521;0,921;1,650;6,884;0,003;1,650;6,622;0,006;1,650;6,512;-0,002;1,650;6,555;0,002;1,650;0,995;0,284;1,650;0,963;-0,002;1,650;0,999;5,829E-4
1,700;-2,517E-4;0,003;1,700;0,002;-0,044;1,700;0,464;0,006;1,700;0,413;0,002;1,700;0,430;0,007;1,700;0,444;0,133;1,700;0,450;0,137;1,700;-6,712;-0,683;1,700;6,519;0,922;1,700;6,873;0,002;1,700;6,624;0,006;1,700;6,512;-9,540E-4;1,700;6,551;0,002;1,700;0,994;0,282;1,700;0,953;-0,002;1,700;0,999;0,001
1,750;-4,592E-4;0,002;1,750;0,002;-0,044;1,750;0,488;0,005;1,750;0,413;0,001;1,750;0,427;0,007;1,750;0,445;0,134;1,750;0,449;0,136;1,750;-6,709;-0,682;1,750;6,519;0,921;1,750;6,868;0,003;1,750;6,623;0,006;1,750;6,512;-0,002;1,750;6,550;0,002;1,750;0,994;0,284;1,750;0,943;-0,003;1,750;0,998;2,301E-4
1,800;-4,714E-4;0,002;1,800;0,002;-0,044;1,800;0,504;0,007;1,800;0,412;0,002;1,800;0,426;0,007;1,800;0,444;0,133;1,800;0,448;0,137;1,800;-6,703;-0,683;1,800;6,517;0,922;1,800;6,864;0,002;1,800;6,623;0,006;1,800;6,512;-0,001;1,800;6,546;0,002;1,800;0,993;0,282;1,800;0,938;-0,002;1,800;0,998;0,001
1,850;-5,691E-4;0,002;1,850;0,002;-0,043;1,850;0,506;0,006;1,850;0,413;0,001;1,850;0,424;0,007;1,850;0,445;0,134;1,850;0,448;0,136;1,850;-6,700;-0,682;1,850;6,502;0,921;1,850;6,852;0,003;1,850;6,623;0,006;1,850;6,506;-0,001;1,850;6,542;0,002;1,850;0,992;0,284;1,850;0,932;-0,004;1,850;0,998;2,045E-4
1,900;-3,274E-4;0,002;1,900;0,002;-0,043;1,900;0,506;0,007;1,900;0,412;0,002;1,900;0,423;0,007;1,900;0,444;0,133;1,900;0,446;0,137;1,900;-6,696;-0,683;1,900;6,489;0,922;1,900;6,844;0,002;1,900;6,623;0,006;1,900;6,494;-0,001;1,900;6,542;0,002;1,900;0,991;0,283;1,900;0,924;-0,003;1,900;0,998;0,001
1,950;-3,262E-4;0,002;1,950;0,002;-0,043;1,950;0,506;0,006;1,950;0,411;0,001;1,950;0,421;0,007;1,950;0,444;0,133;1,950;0,446;0,136;1,950;-6,694;-0,683;1,950;6,480;0,921;1,950;6,829;0,003;1,950;6,623;0,006;1,950;6,494;-0,001;1,950;6,541;0,002;1,950;0,989;0,284;1,950;0,918;-0,004;1,950;0,999;3,253E-4
2,000;-8,169E-4;0,002;2,000;0,002;-0,043;2,000;0,507;0,007;2,000;0,411;0,002;2,000;0,419;0,007;2,000;0,444;0,133;2,000;0,445;0,137;2,000;-6,691;-0,683;2,000;6,463;0,922;2,000;6,823;0,002;2,000;6,621;0,006;2,000;6,490;-8,319E-4;2,000;6,542;0,002;2,000;0,988;0,282;2,000;0,908;-0,003;2,000;0,999;0,001
2,050;-5,874E-4;0,001;2,050;0,002;-0,042;2,050;0,507;0,006;2,050;0,411;0,001;2,050;0,417;0,007;2,050;0,444;0,134;2,050;0,445;0,136;2,050;-6,690;-0,682;2,050;6,457;0,921;2,050;6,804;0,003;2,050;6,620;0,006;2,050;6,467;-0,002;2,050;6,541;0,002;2,050;0,987;0,284;2,050;0,900;-0,005;2,050;0,998;2,716E-4
2,100;-7,363E-4;0,001;2,100;0,003;-0,043;2,100;0,507;0,007;2,100;0,411;0,002;2,100;0,415;0,007;2,100;0,445;0,133;2,100;0,445;0,137;2,100;-6,689;-0,683;2,100;6,457;0,922;2,100;6,793;0,002;2,100;6,620;0,006;2,100;6,466;-9,894E-4;2,100;6,541;0,002;2,100;0,985;0,282;2,100;0,891;-0,004;2,100;0,997;0,002
2,150;-7,424E-4;6,549E-4;2,150;0,002;-0,042;2,150;0,507;0,006;2,150;0,411;0,001;2,150;0,412;0,007;2,150;0,444;0,134;2,150;0,445;0,136;2,150;-6,687;-0,682;2,150;6,457;0,921;2,150;6,774;0,003;2,150;6,620;0,006;2,150;6,444;-0,002;2,150;6,541;0,003;2,150;0,984;0,283;2,150;0,880;-0,006;2,150;0,991;-3,967E-5
2,200;-7,559E-4;7,697E-4;2,200;0,002;-0,042;2,200;0,507;0,007;2,200;0,410;0,002;2,200;0,411;0,007;2,200;0,444;0,133;2,200;0,445;0,137;2,200;-6,685;-0,683;2,200;6,457;0,922;2,200;6,757;0,002;2,200;6,620;0,006;2,200;6,444;-0,001;2,200;6,540;0,001;2,200;0,983;0,282;2,200;0,872;-0,005;2,200;0,987;7,440E-4
2,250;-8,901E-4;4,333E-5;2,250;0,002;-0,042;2,250;0,515;0,006;2,250;0,410;0,001;2,250;0,410;0,007;2,250;0,445;0,134;2,250;0,445;0,136;2,250;-6,684;-0,682;2,250;6,455;0,921;2,250;6,738;0,003;2,250;6,620;0,006;2,250;6,444;-0,002;2,250;6,531;0,002;2,250;0,982;0,283;2,250;0,864;-0,007;2,250;0,984;-1,764E-4
2,300;-9,207E-4;1,007E-4;2,300;0,002;-0,042;2,300;0,530;0,007;2,300;0,410;0,002;2,300;0,410;0,007;2,300;0,444;0,133;2,300;0,445;0,137;2,300;-6,675;-0,683;2,300;6,435;0,922;2,300;6,724;0,002;2,300;6,620;0,006;2,300;6,442;-0,002;2,300;6,526;0,001;2,300;0,981;0,282;2,300;0,862;-0,006;2,300;0,981;8,527E-4
2,350;-7,595E-4;-2,032E-4;2,350;0,002;-0,041;2,350;0,540;0,006;2,350;0,410;8,807E-4;2,350;0,408;0,007;2,350;0,444;0,133;2,350;0,444;0,136;2,350;-6,671;-0,682;2,350;6,418;0,921;2,350;6,724;0,003;2,350;6,620;0,006;2,350;6,422;-0,002;2,350;6,508;0,002;2,350;0,981;0,283;2,350;0,858;-0,007;2,350;0,975;-3,986E-4
2,400;-0,001;-5,243E-4;2,400;0,003;-0,042;2,400;0,541;0,007;2,400;0,410;0,002;2,400;0,405;0,007;2,400;0,444;0,133;2,400;0,443;0,137;2,400;-6,671;-0,683;2,400;6,405;0,921;2,400;6,713;0,002;2,400;6,620;0,006;2,400;6,399;-0,001;2,400;6,503;0,001;2,400;0,981;0,282;2,400;0,857;-0,006;2,400;0,970;2,747E-5
2,450;-0,001;-0,001;2,450;0,003;-0,041;2,450;0,541;0,006;2,450;0,410;0,001;2,450;0,403;0,007;2,450;0,444;0,133;2,450;0,443;0,136;2,450;-6,669;-0,682;2,450;6,399;0,921;2,450;6,698;0,002;2,450;6,620;0,006;2,450;6,397;-0,001;2,450;6,503;0,003;2,450;0,980;0,283;2,450;0,855;-0,007;2,450;0,965;-0,001
2,500;-9,988E-4;-0,001;2,500;0,003;-0,041;2,500;0,542;0,007;2,500;0,409;0,002;2,500;0,401;0,007;2,500;0,445;0,133;2,500;0,443;0,137;2,500;-6,664;-0,683;2,500;6,389;0,922;2,500;6,677;0,002;2,500;6,620;0,006;2,500;6,380;-0,001;2,500;6,501;0,002;2,500;0,980;0,282;2,500;0,852;-0,006;2,500;0,960;-2,789E-4
2,550;-0,001;-0,002;2,550;0,003;-0,041;2,550;0,542;0,006;2,550;0,406;0,001;2,550;0,400;0,007;2,550;0,444;0,134;2,550;0,442;0,136;2,550;-6,654;-0,682;2,550;6,381;0,920;2,550;6,657;0,003;2,550;6,620;0,006;2,550;6,379;-0,002;2,550;6,503;0,003;2,550;0,981;0,283;2,550;0,849;-0,008;2,550;0,958;-0,002
2,600;-0,001;-0,002;2,600;0,003;-0,041;2,600;0,542;0,007;2,600;0,404;0,002;2,600;0,399;0,007;2,600;0,444;0,133;2,600;0,442;0,137;2,600;-6,641;-0,683;2,600;6,371;0,922;2,600;6,654;0,002;2,600;6,620;0,006;2,600;6,378;-0,001;2,600;6,501;0,002;2,600;0,980;0,282;2,600;0,849;-0,006;2,600;0,954;-3,668E-4
2,650;-0,001;-0,002;2,650;0,003;-0,040;2,650;0,542;0,006;2,650;0,402;0,001;2,650;0,399;0,007;2,650;0,444;0,133;2,650;0,442;0,136;2,650;-6,636;-0,682;2,650;6,364;0,920;2,650;6,637;0,003;2,650;6,620;0,006;2,650;6,377;-0,002;2,650;6,505;0,003;2,650;0,981;0,283;2,650;0,848;-0,007;2,650;0,949;-0,002
2,700;-0,001;-0,002;2,700;0,002;-0,041;2,700;0,542;0,007;2,700;0,401;0,002;2,700;0,396;0,007;2,700;0,444;0,132;2,700;0,442;0,137;2,700;-6,633;-0,683;2,700;6,363;0,922;2,700;6,620;0,002;2,700;6,620;0,006;2,700;6,377;-0,001;2,700;6,505;0,001;2,700;0,980;0,282;2,700;0,847;-0,007;2,700;0,945;-9,784E-4
2,750;-0,001;-0,002;2,750;0,003;-0,040;2,750;0,542;0,006;2,750;0,399;0,001;2,750;0,392;0,007;2,750;0,444;0,134;2,750;0,442;0,136;2,750;-6,627;-0,682;2,750;6,360;0,921;2,750;6,603;0,003;2,750;6,620;0,006;2,750;6,377;-0,002;2,750;6,504;0,002;2,750;0,981;0,283;2,750;0,843;-0,008;2,750;0,943;-0,002
2,800;-0,001;-0,002;2,800;0,003;-0,040;2,800;0,542;0,007;2,800;0,399;0,002;2,800;0,389;0,007;2,800;0,444;0,133;2,800;0,442;0,137;2,800;-6,627;-0,683;2,800;6,361;0,921;2,800;6,603;0,002;2,800;6,620;0,006;2,800;6,377;-0,001;2,800;6,504;0,001;2,800;0,980;0,282;2,800;0,838;-0,007;2,800;0,941;-0,001
2,850;-0,001;-0,003;2,850;0,003;-0,039;2,850;0,542;0,006;2,850;0,399;0,001;2,850;0,389;0,007;2,850;0,444;0,134;2,850;0,441;0,136;2,850;-6,626;-0,682;2,850;6,362;0,920;2,850;6,592;0,003;2,850;6,620;0,006;2,850;6,377;-0,002;2,850;6,504;0,002;2,850;0,980;0,283;2,850;0,836;-0,008;2,850;0,938;-0,002
2,900;-0,001;-0,003;2,900;0,003;-0,040;2,900;0,542;0,008;2,900;0,399;0,002;2,900;0,388;0,007;2,900;0,443;0,133;2,900;0,441;0,137;2,900;-6,615;-0,683;2,900;6,361;0,921;2,900;6,580;0,002;2,900;6,620;0,006;2,900;6,377;-0,001;2,900;6,504;0,001;2,900;0,980;0,282;2,900;0,836;-0,007;2,900;0,935;-9,186E-4
