Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17	Zeit (s) Messreihe #18	Spannung, Ch A (V) Messreihe #18	Spannung, Ch B (V) Messreihe #18	Zeit (s) Messreihe #19	Spannung, Ch A (V) Messreihe #19	Spannung, Ch B (V) Messreihe #19	Zeit (s) Messreihe #20	Spannung, Ch A (V) Messreihe #20	Spannung, Ch B (V) Messreihe #20	Zeit (s) Messreihe #21	Spannung, Ch A (V) Messreihe #21	Spannung, Ch B (V) Messreihe #21	Zeit (s) Messreihe #22	Spannung, Ch A (V) Messreihe #22	Spannung, Ch B (V) Messreihe #22	Zeit (s) Messreihe #23	Spannung, Ch A (V) Messreihe #23	Spannung, Ch B (V) Messreihe #23	Zeit (s) Messreihe #24	Spannung, Ch A (V) Messreihe #24	Spannung, Ch B (V) Messreihe #24	Zeit (s) Messreihe #25	Spannung, Ch A (V) Messreihe #25	Spannung, Ch B (V) Messreihe #25	Zeit (s) Messreihe #26	Spannung, Ch A (V) Messreihe #26	Spannung, Ch B (V) Messreihe #26	Zeit (s) Messreihe #27	Spannung, Ch A (V) Messreihe #27	Spannung, Ch B (V) Messreihe #27	Zeit (s) Messreihe #28	Spannung, Ch A (V) Messreihe #28	Spannung, Ch B (V) Messreihe #28	Zeit (s) Messreihe #29	Spannung, Ch A (V) Messreihe #29	Spannung, Ch B (V) Messreihe #29	Zeit (s) Messreihe #30	Spannung, Ch A (V) Messreihe #30	Spannung, Ch B (V) Messreihe #30	Zeit (s) Messreihe #31	Spannung, Ch A (V) Messreihe #31	Spannung, Ch B (V) Messreihe #31	Zeit (s) Messreihe #32	Spannung, Ch A (V) Messreihe #32	Spannung, Ch B (V) Messreihe #32	Zeit (s) Messreihe #33	Spannung, Ch A (V) Messreihe #33	Spannung, Ch B (V) Messreihe #33	Zeit (s) Messreihe #34	Spannung, Ch A (V) Messreihe #34	Spannung, Ch B (V) Messreihe #34	Zeit (s) Messreihe #35	Spannung, Ch A (V) Messreihe #35	Spannung, Ch B (V) Messreihe #35	Zeit (s) Messreihe #36	Spannung, Ch A (V) Messreihe #36	Spannung, Ch B (V) Messreihe #36
0,500	0,002	0,016	0,500	0,002	0,034	0,500	0,004	0,008	0,500	0,002	0,019	0,500	0,003	0,010	0,500	0,002	0,033	0,500	0,003	3,198E-4	0,500	0,003	0,006	0,500	0,003	-0,001	0,500	0,003	0,003	0,500	0,003	0,023	0,500	0,003	0,031	0,500	0,013	-0,042	0,500	0,003	0,005	0,500	0,003	0,023	0,500	0,003	0,022	0,500	0,003	0,026	0,500	0,003	0,003	0,500	0,003	0,005	0,500	3,044	5,743	0,500	0,002	0,006	0,500	0,003	0,005	0,500	0,003	0,004	0,500	0,003	-0,003	0,500	0,007	0,036	0,500	0,008	0,020	0,500	0,007	0,056	0,500	0,007	0,040	0,500	0,007	0,049	0,500	0,007	0,056	0,500	0,007	0,024	0,500	0,008	0,036	0,500	0,008	0,055	0,500	0,007	0,057	0,500	0,007	0,047	0,500	0,007	0,047
0,550	0,002	0,033	0,550	0,002	0,016	0,550	0,004	0,043	0,550	0,003	0,022	0,550	0,002	0,021	0,550	0,003	2,429E-4	0,550	0,003	0,031	0,550	0,003	-0,019	0,550	0,003	0,030	0,550	0,003	0,018	0,550	0,003	0,006	0,550	0,003	-0,001	0,550	0,028	0,001	0,550	0,779	1,529	0,550	0,003	0,006	0,550	0,003	0,024	0,550	0,003	0,020	0,550	0,003	0,040	0,550	0,979	1,671	0,550	5,025	7,183	0,550	0,003	0,014	0,550	0,002	0,016	0,550	0,003	0,017	0,550	0,003	0,021	0,550	0,008	0,037	0,550	0,007	0,054	0,550	0,008	0,020	0,550	0,009	0,032	0,550	0,008	0,019	0,550	0,007	0,023	0,550	0,007	0,061	0,550	0,008	0,049	0,550	0,008	0,025	0,550	0,008	0,032	0,550	0,007	0,037	0,550	0,007	0,043
0,600	0,002	0,016	0,600	0,002	0,034	0,600	0,004	0,008	0,600	0,003	0,019	0,600	0,003	0,010	0,600	0,003	0,033	0,600	0,003	2,502E-4	0,600	0,003	0,006	0,600	0,003	-0,001	0,600	0,003	0,003	0,600	0,003	0,023	0,600	0,003	0,031	0,600	0,043	0,031	0,600	0,017	-0,024	0,600	0,003	0,023	0,600	1,081	1,848	0,600	0,777	1,304	0,600	0,003	0,003	0,600	0,016	-0,028	0,600	4,293	7,624	0,600	0,003	0,006	0,600	0,003	0,004	0,600	0,003	0,004	0,600	0,003	-0,002	0,600	0,007	0,036	0,600	0,007	0,024	0,600	0,007	0,062	0,600	0,008	0,037	0,600	0,007	0,050	0,600	0,007	0,056	0,600	0,007	0,024	0,600	0,008	0,037	0,600	0,008	0,055	0,600	0,007	0,056	0,600	0,007	0,043	0,600	0,007	0,046
0,650	0,003	0,033	0,650	0,002	0,017	0,650	0,004	0,043	0,650	0,003	0,022	0,650	0,003	0,021	0,650	0,003	4,272E-4	0,650	0,003	0,030	0,650	0,002	-0,019	0,650	0,003	0,030	0,650	0,003	0,017	0,650	0,003	0,006	0,650	0,003	-0,001	0,650	0,058	0,017	0,650	0,033	0,027	0,650	0,003	0,006	0,650	0,018	-0,010	0,650	3,073	4,089	0,650	0,003	0,040	0,650	0,031	0,035	0,650	3,741	5,926	0,650	0,003	0,014	0,650	0,003	0,016	0,650	1,355	2,258	0,650	0,003	0,021	0,650	0,007	0,037	0,650	0,007	0,056	0,650	0,011	0,030	0,650	0,007	0,029	0,650	0,007	0,019	0,650	0,007	0,023	0,650	0,007	0,061	0,650	0,008	0,460	0,650	0,007	0,025	0,650	0,008	0,032	0,650	0,008	0,033	0,650	0,007	0,043
0,700	0,002	0,016	0,700	0,002	0,033	0,700	0,004	0,008	0,700	0,003	0,019	0,700	0,003	0,010	0,700	0,002	0,033	0,700	0,003	1,782E-4	0,700	0,003	0,007	0,700	1,148	1,940	0,700	0,003	0,001	0,700	0,003	0,023	0,700	0,003	0,031	0,700	0,073	0,038	0,700	0,047	0,015	0,700	0,722	1,435	0,700	0,033	0,021	0,700	0,019	-0,044	0,700	0,660	1,284	0,700	0,046	0,013	0,700	5,730	8,337	0,700	2,572	3,704	0,700	0,003	0,005	0,700	0,018	-0,043	0,700	0,003	-0,002	0,700	0,007	0,038	0,700	0,008	0,024	0,700	0,008	0,051	0,700	0,007	0,041	0,700	0,007	0,049	0,700	0,007	0,055	0,700	0,008	0,024	0,700	0,008	0,049	0,700	0,008	0,056	0,700	0,008	0,057	0,700	0,007	0,045	0,700	0,007	0,047
0,750	0,002	0,033	0,750	0,002	0,017	0,750	0,004	0,043	0,750	0,003	0,023	0,750	0,002	0,020	0,750	0,003	3,699E-4	0,750	0,003	0,030	0,750	0,003	-0,018	0,750	0,022	0,009	0,750	0,003	0,015	0,750	0,003	0,006	0,750	0,003	-0,002	0,750	0,088	0,021	0,750	0,063	0,039	0,750	0,021	-0,008	0,750	0,048	0,032	0,750	0,034	-0,001	0,750	0,020	0,024	0,750	0,061	0,050	0,750	3,192	5,956	0,750	0,013	-0,082	0,750	0,003	0,016	0,750	0,033	0,010	0,750	0,003	0,021	0,750	0,008	0,042	0,750	0,007	0,055	0,750	0,007	0,019	0,750	0,007	0,028	0,750	0,007	0,019	0,750	0,007	0,024	0,750	0,008	0,061	0,750	0,011	0,048	0,750	0,007	0,025	0,750	0,008	0,032	0,750	0,007	0,033	0,750	0,007	0,043
0,800	0,002	0,016	0,800	0,002	0,033	0,800	0,004	0,008	0,800	0,003	0,019	0,800	0,003	0,010	0,800	0,003	0,033	0,800	0,002	-2,686E-4	0,800	0,003	0,008	0,800	0,038	0,001	0,800	0,003	0,002	0,800	0,003	0,023	0,800	0,003	0,031	0,800	0,103	0,041	0,800	0,078	0,021	0,800	0,037	0,030	0,800	0,063	0,035	0,800	0,050	0,021	0,800	0,035	0,009	0,800	0,076	0,019	0,800	4,397	6,449	0,800	0,029	-0,025	0,800	0,002	0,004	0,800	0,048	0,009	0,800	0,003	-0,002	0,800	0,008	0,041	0,800	0,007	0,024	0,800	0,007	0,062	0,800	0,008	0,041	0,800	0,009	0,054	0,800	0,017	0,077	0,800	0,007	0,024	0,800	0,008	0,029	0,800	0,008	0,056	0,800	0,015	0,070	0,800	0,007	0,043	0,800	0,007	0,047
0,850	0,002	0,033	0,850	0,002	0,017	0,850	0,004	0,043	0,850	0,003	0,023	0,850	0,003	0,020	0,850	0,003	4,712E-4	0,850	0,003	0,030	0,850	1,231	2,730	0,850	0,053	0,041	0,850	0,003	0,017	0,850	0,003	0,006	0,850	0,003	-0,001	0,850	0,118	0,022	0,850	0,093	0,042	0,850	0,052	0,018	0,850	0,078	0,038	0,850	0,064	0,023	0,850	0,050	0,052	0,850	0,092	0,053	0,850	4,455	6,996	0,850	0,043	0,008	0,850	0,003	0,015	0,850	0,063	0,029	0,850	1,932	2,791	0,850	0,008	0,042	0,850	0,007	0,056	0,850	0,007	0,019	0,850	0,008	0,028	0,850	0,007	0,020	0,850	0,008	0,019	0,850	0,008	0,062	0,850	0,008	0,043	0,850	0,008	0,024	0,850	0,008	0,024	0,850	0,007	0,035	0,850	0,008	0,044
0,900	0,003	0,017	0,900	0,002	0,033	0,900	0,004	0,009	0,900	0,002	0,019	0,900	0,002	0,010	0,900	0,003	0,033	0,900	0,003	3,430E-4	0,900	0,013	0,126	0,900	0,068	0,012	0,900	0,003	0,003	0,900	0,003	0,023	0,900	0,743	1,518	0,900	0,134	0,043	0,900	0,108	0,023	0,900	0,067	0,039	0,900	0,093	0,038	0,900	0,080	0,033	0,900	0,065	0,016	0,900	0,106	0,021	0,900	0,012	-0,120	0,900	0,059	0,010	0,900	0,003	0,004	0,900	0,079	0,018	0,900	0,019	-0,049	0,900	0,008	0,041	0,900	0,010	0,024	0,900	0,007	0,062	0,900	0,007	0,041	0,900	0,007	0,055	0,900	0,007	0,049	0,900	0,008	0,024	0,900	0,008	0,033	0,900	0,008	0,056	0,900	0,007	0,057	0,900	0,008	0,045	0,900	0,008	0,046
0,950	0,003	0,032	0,950	0,002	0,017	0,950	0,004	0,043	0,950	0,003	0,023	0,950	0,002	0,020	0,950	0,002	1,746E-4	0,950	0,003	0,030	0,950	0,030	-0,022	0,950	0,083	0,047	0,950	0,288	0,665	0,950	0,003	0,006	0,950	0,010	-0,064	0,950	0,148	0,023	0,950	0,123	0,043	0,950	0,082	0,023	0,950	0,107	0,040	0,950	0,095	0,030	0,950	0,080	0,057	0,950	0,121	0,054	0,950	0,027	-0,090	0,950	0,074	0,024	0,950	0,003	0,016	0,950	0,093	0,034	0,950	0,034	0,010	0,950	0,007	0,042	0,950	0,008	0,054	0,950	0,016	0,042	0,950	0,007	0,028	0,950	0,008	0,022	0,950	0,007	0,021	0,950	0,008	0,058	0,950	0,011	0,040	0,950	0,008	0,028	0,950	0,007	0,031	0,950	0,007	0,033	0,950	0,008	0,043
1,000	0,002	0,017				1,000	0,004	0,009	1,000	0,002	0,019	1,000	0,002	0,011	1,000	0,003	0,033	1,000	0,003	2,600E-4	1,000	0,046	0,016	1,000	0,098	0,015	1,000	0,677	1,133	1,000	0,504	0,956	1,000	0,026	0,026	1,000	0,163	0,043	1,000	0,138	0,024	1,000	0,097	0,041	1,000	0,122	0,040	1,000	0,110	0,038	1,000	0,095	0,019	1,000	0,137	0,022	1,000	0,043	-0,056	1,000	0,089	0,018	1,000	0,002	0,004	1,000	0,109	0,020	1,000	0,050	0,002	1,000	0,007	0,041	1,000	0,008	0,025	1,000	0,441	1,588	1,000	1,216	3,006	1,000	0,007	0,056	1,000	0,426	1,452	1,000	0,008	0,022	1,000	0,412	1,461	1,000	0,007	0,061	1,000	0,008	0,055	1,000	0,007	0,046	1,000	0,009	0,045
1,050	0,002	0,032				1,050	0,004	0,043	1,050	0,002	0,023	1,050	0,002	0,020	1,050	0,003	4,614E-4	1,050	0,003	0,030	1,050	0,062	-0,005	1,050	0,113	0,050	1,050	0,024	0,005	1,050	0,283	0,508	1,050	0,041	0,007	1,050	0,178	0,024	1,050	0,153	0,044	1,050	0,112	0,024	1,050	0,138	0,041	1,050	0,125	0,034	1,050	0,110	0,059	1,050	0,151	0,055	1,050	0,058	-0,039	1,050	0,104	0,031	1,050	0,002	0,015	1,050	0,124	0,036	1,050	0,065	0,031	1,050	0,008	0,042	1,050	0,007	0,055	1,050	0,020	0,019	1,050	0,018	0,041	1,050	0,007	0,022	1,050	0,024	0,019	1,050	0,008	0,054	1,050	0,031	0,055	1,050	0,008	0,028	1,050	0,008	0,029	1,050	0,007	0,036	1,050	0,008	0,039
1,100	0,002	0,017				1,100	0,004	0,009	1,100	0,003	0,019	1,100	0,002	0,011	1,100	0,003	0,034	1,100	0,003	2,637E-4	1,100	0,078	0,025	1,100	0,128	0,016	1,100	0,040	0,008	1,100	0,025	0,015	1,100	0,056	0,045	1,100	0,193	0,045	1,100	0,167	0,025	1,100	0,127	0,042	1,100	0,153	0,041	1,100	0,140	0,042	1,100	0,125	0,019	1,100	0,166	0,023	1,100	0,073	-0,023	1,100	0,119	0,023	1,100	0,003	0,004	1,100	0,138	0,021	1,100	0,080	0,011	1,100	0,008	0,041	1,100	0,007	0,025	1,100	0,034	0,068	1,100	0,031	0,299	1,100	0,007	0,056	1,100	0,046	0,088	1,100	0,007	0,021	1,100	0,028	0,028	1,100	0,008	0,062	1,100	0,522	1,813	1,100	0,696	2,375	1,100	0,008	0,041
